folder,alternativeMeasure,game,series,group,charName,lines,words,sentences,syllables
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,playerChoice,Hawke,6202,55799,13258,66385
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,playerChoice,Aveline,1596,15812,4352,18826
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,playerChoice,Varric,1444,17453,3873,20849
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,playerChoice,Bethany,577,6019,1541,6996
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,playerChoice,Carver,627,6216,1672,7240
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,playerChoice,Fenris,1289,12629,3265,15206
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,playerChoice,Merrill,1383,15038,4139,17523
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,playerChoice,Sebastian,576,7020,1469,8385
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,playerChoice,Isabela,1296,13769,3597,16175
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,playerChoice,Anders,1560,17531,4078,20768
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Carver,627,6216,1672,7240
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Fenris,1289,12629,3265,15206
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Varric,1444,17453,3873,20849
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Sebastian,576,7020,1469,8385
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Anders,1560,17531,4078,20768
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Adriano,6,63,19,82
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Quentin,21,277,67,339
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Quintus,41,591,107,718
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Pol,20,173,49,193
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Cerimon,5,47,9,55
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Denier,10,99,21,119
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Huon,7,70,17,82
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Jethann,30,329,82,395
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Leonato,6,55,12,58
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Osric,5,38,11,46
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Saemus,91,1004,247,1171
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Wilmod,3,18,5,20
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Brat,5,56,8,61
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Corff,55,706,139,877
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Martin,63,808,165,936
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Maraas,48,627,148,745
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Alistair,95,1085,302,1290
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Ser Roderick,10,74,41,86
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Talkative Man,21,297,62,333
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Alain,54,751,179,854
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Alienage Elf M1,28,229,59,265
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Alienage Elf M2,23,233,56,270
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Angry Mage M,16,92,22,108
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Angry Refugee,13,100,34,119
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Anso,23,298,74,359
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Arguing Male,12,82,24,92
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Arishok,316,3576,828,4403
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Arishok Guard,24,217,58,275
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Bann Teagan,16,141,36,165
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Aden,23,240,55,293
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Bartender Friend,6,39,12,52
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Bartrand,97,1120,296,1317
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Sketch,7,70,18,81
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Bodahn Feddic,183,2229,486,2634
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Bran,139,1885,409,2549
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Brekker,4,37,5,44
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Ser Alrik,4,45,8,51
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Orwald,26,303,80,341
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Gamlen,231,2849,713,3289
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Guardsman Wright,21,271,56,316
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Tobrius,13,203,44,246
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Hugin,17,244,77,284
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Hubert,115,1652,327,2025
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Hugh,20,198,45,238
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Keran,86,1075,273,1228
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Ketojan,25,287,90,336
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Castillon,12,128,30,153
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Master Ilen,33,407,90,479
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Hahren Paivel,14,191,41,228
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Fenarel,31,355,81,410
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Junar,16,126,39,141
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Hayder,9,107,20,122
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Karl,18,211,59,255
../data/DragonAge/DragonAge2/,False,Dragon Age 2,Dragon Age,male,Cityguard M1,9,61,14,69
