folder,series,game,from,to,frequency
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,-,-,7329
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,-,male,3516
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,male,-,10490
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,-,playerChoice,5407
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,playerChoice,male,2927
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,male,male,2679
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,male,playerChoice,593
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,male,cut,59
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,cut,male,59
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,playerChoice,-,3428
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,male,female,2323
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,female,-,7031
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,playerChoice,cut,58
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,cut,-,276
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,female,male,2111
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,-,female,2114
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,-,neutral,51
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,neutral,playerChoice,1
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,neutral,-,77
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,playerChoice,female,2005
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,female,female,1265
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,female,playerChoice,486
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,female,cut,42
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,cut,female,37
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,female,trans,7
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,trans,female,7
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,trans,-,4
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,-,cut,112
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,cut,playerChoice,11
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,playerChoice,neutral,50
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,cut,cut,136
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,-,trans,5
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,trans,male,4
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,male,trans,6
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,male,neutral,4
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,neutral,male,6
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,neutral,neutral,5
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,neutral,female,3
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,female,neutral,2
../data/DragonAge/DragonAge2/,Dragon Age,Dragon Age 2,neutral,cut,1
