folder,alternativeMeasure,game,series,group,charName,lines,words,sentences,syllables
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Alistair,3052,45887,11555,53532
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Zevran,1770,27453,5810,32897
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Sten,1430,13429,3720,16152
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Oghren,1339,17343,4053,20093
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Duncan,732,10713,1953,13212
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Loghain,759,10494,2037,12623
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Jowan,543,6908,1917,8094
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Gorim,452,5432,1181,6626
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Soris,409,4430,1217,5114
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Leske,392,5362,1055,6271
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Teagan,362,6178,1269,7395
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Bhelen,343,4879,861,5959
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Irving,301,4140,868,5023
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Zathrian,271,4774,892,5670
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Greagoir,270,3785,787,4652
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Eamon,290,5262,995,6320
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Genitivi,237,3495,871,4128
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Vartag,233,3475,560,4369
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Harrowmont,216,3206,509,3908
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Murdock,202,3200,602,3765
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Tamlen,197,2085,649,2428
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Riordan,193,3078,526,3707
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Niall,173,2522,646,3005
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Dulin,167,2775,437,3612
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Sarel,157,2496,448,2948
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Cammen,153,1849,641,2110
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Ignacio,143,1620,419,1993
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Cullen,141,1726,518,2039
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Owen,136,2211,502,2534
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Jory,135,1202,330,1435
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Daveth,135,1298,321,1483
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Kolgrim,132,1780,346,2129
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Perth,127,2209,395,2667
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Connor,126,1668,450,1868
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Hermit,125,2222,471,2516
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Fenarel,124,969,286,1084
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Alarith,117,1829,336,2137
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Cailan,114,1497,294,1812
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Godwin,111,1358,410,1583
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Valendrian,109,1234,295,1475
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Ruck,107,1341,406,1457
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Athras,106,1626,413,1881
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Trian,106,1157,241,1407
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Lloyd,105,1439,448,1639
../data/DragonAge/DragonAgeOrigins/,True,Dragon Age: Origins,Dragon Age,male,Dwyn,103,1325,268,1528
