"ID","Name"
"abomination_a","Abomination"
"abomination_desire","Desire Abomination"
"abomination_hunger","Hunger Abomination"
"abomination_rage","Rage Abomination"
"abomination_sloth","Sloth Abomination"
"alpha_wolf","Alpha Wolf"
"animated_dead","Animated Dead"
"aoa100ar_city_siege","City of Amaranthine"
"aoa100cr_armored_ogre_boss","Armored Ogre Alpha"
"aoa100cr_captain_aidan","Constable Aidan"
"aoa100cr_city_guard_cap","City Guard Commander"
"aoa100cr_darkmessenger","Disciple Messenger"
"aoa100cr_ds_catapult","Darkspawn Commander"
"aoa100cr_ds_general_1","Disciple General"
"aoa100cr_ds_general_2","Disciple General"
"aoa100cr_ds_general_3","Disciple General"
"aoa100cr_enchanter","Enchanter"
"aoa100cr_garevel","Captain Garevel"
"aoa100cr_militia_army_a","City Guard"
"aoa100cr_militia_army_b","City Guard"
"aoa100cr_militia_army_fem_a","City Guard"
"aoa100cr_militia_army_fem_b","City Guard"
"aoa100cr_sergeant","Sergeant"
"aoa100cr_survivor_1","Survivor"
"aoa100cr_survivor_1_f","Noble"
"aoa100cr_survivor_1_m","Patron"
"aoa100cr_survivor_2","Survivor"
"aoa100ip_catwalk_door","Door"
"aoa100ip_chantry_door","Chantry of Our Lady Redeemer"
"aoa100ip_to_amaranthine","City of Amaranthine"
"aoa100ip_to_inn","The Crown and Lion"
"aoa100ip_to_smugglers_cove","Smuggler's Cove"
"aoa110ar_inn_siege","The Crown and Lion"
"aoa130ar_smugglers_cove_sg","Smuggler's Cove"
"aoa130ip_to_city","City of Amaranthine"
"aoa130ip_to_inn","The Crown and Lion"
"aoa140ar_chantry","Chantry of Our Lady Redeemer"
"aoa140cr_alarmed_man","City Guard"
"aoa140cr_priestess","Chantry Sister"
"aoa140ip_to_amaranthine","City of Amaranthine"
"arcane_horror","Arcane Horror"
"arcane_horror_a","Arcane Horror"
"archdemon","Archdemon"
"archer_bridge","Soldier"
"arl000ip_target_dummy","Combat Dummy"
"arl000ip_unusable_door","Door"
"arl000ip_unusable_door_l","Door"
"arl000ip_unusable_door_w","Door"
"arl100ar_redcliffe_village","Redcliffe"
"arl100cr_chanter_redcliffe","Chanter Farrah"
"arl100cr_despmerch","Merchant"
"arl100cr_doomsayer","Doomsayer"
"arl100cr_gravedigger","Villager"
"arl100cr_grimguard","Guard"
"arl100cr_guard","Guard"
"arl100cr_isolde","Isolde"
"arl100cr_isolde_guard","Guard"
"arl100cr_knight_1","Knight"
"arl100cr_knight_2","Knight"
"arl100cr_knight_3","Knight"
"arl100cr_militia_1","Militia"
"arl100cr_militia_2","Militia"
"arl100cr_militia_3","Militia"
"arl100cr_militia_4","Militia"
"arl100cr_militia_5","Militia"
"arl100cr_murdock","Murdock"
"arl100cr_perth","Ser Perth"
"arl100cr_refugee_child","Refugee"
"arl100cr_refugee_f","Refugee"
"arl100cr_refugee_m","Refugee"
"arl100cr_return_f","Villager"
"arl100cr_return_m","Villager"
"arl100cr_scavenger","Scavenger"
"arl100cr_tomas","Tomas"
"arl100cr_watchman","Militia"
"arl100ip_chantry_board","Chanter's Board"
"arl100ip_codex_lake","Lake Calenhad - No Swimming"
"arl100ip_door_castle","Redcliffe Castle"
"arl100ip_door_chantry","Chantry"
"arl100ip_door_cottage","House"
"arl100ip_door_dwyn","Dwyn's Home"
"arl100ip_door_general_store","General Store"
"arl100ip_door_kaitlyn","Kaitlyn's Home"
"arl100ip_door_owen","Blacksmithy"
"arl100ip_door_tavern","Tavern"
"arl100ip_door_wilhelm","Wilhelm's House"
"arl100ip_door_windmill","Windmill"
"arl100ip_rowboat","Boat"
"arl100ip_to_castle_map","World Map"
"arl100it_signet_ring","Signet Ring"
"arl101ar_redcliffe_night","Redcliffe"
"arl101cr_undead","Walking Corpse"
"arl101ip_barricade","Barricade"
"arl110ar_chantry","Village Chantry"
"arl110cr_child_f_1","Child"
"arl110cr_child_f_2","Child"
"arl110cr_child_m_1","Child"
"arl110cr_child_m_2","Child"
"arl110cr_hannah","Mother Hannah"
"arl110cr_kaitlyn","Kaitlyn"
"arl110cr_old_f_1","Old Woman"
"arl110cr_old_f_2","Old Woman"
"arl110cr_old_m_1","Old Man"
"arl110cr_teagan","Bann Teagan"
"arl110cr_villager_f_1","Villager"
"arl110cr_villager_f_2","Villager"
"arl110ip_codex_calendar","Book"
"arl110ip_codex_chant_found","Pile of Books"
"arl110ip_codex_chant_laws","Book"
"arl110ip_door_village","Village"
"arl110it_holy_symbol","Holy Symbol"
"arl120ar_blacksmith","Blacksmith's Store"
"arl120cr_blacksmith","Blacksmith"
"arl120cr_owen","Owen"
"arl120ip_crate","Crate"
"arl120ip_door_village","Village"
"arl120ip_trap_door","Hidden Trapdoor"
"arl120ip_trap_door_2","Hidden Trapdoor"
"arl120it_stash","Bundle of Equipment"
"arl120it_stash_key","Owen's Key"
"arl130ar_dwyns_home","Dwyn's Home"
"arl130cr_dwyn","Dwyn"
"arl130cr_thug_1","Thug"
"arl130cr_thug_2","Thug"
"arl130ip_chest_iron","Chest"
"arl130ip_door_village","Village"
"arl130it_lockbox_key","Dwyn's Lockbox Key"
"arl140ar_kaitlyn_home","Kaitlyn's Home - Main Floor"
"arl140cr_bevin","Bevin"
"arl140ip_chest_sword","Chest"
"arl140ip_codex_calenhad_1","Book"
