"GOTO" :36713,
"Warden" :19790,
"CHOICE" :16733,
"ACTION" :8695,
"Alistair" :2940,
"Morrigan" :1959,
"Leliana" :1742,
"Zevran" :1616,
"Wynne" :1335,
"Oghren" :1197,
"Sten" :1188,
"Duncan" :705,
"Loghain" :640,
"Shale" :543,
"Anora" :497,
"Jowan" :464,
"Gorim" :455,
"Bann Teagan" :364,
"Leske" :330,
"Soris" :329,
"Prince Bhelen Aeducan" :316,
"Arl Eamon" :298,
"Rica" :288,
"First Enchanter Irving" :276,
"Bodahn Feddic" :256,
"Shianni" :256,
"Proving Master" :255,
"Zathrian" :250,
"Knight-Commander Greagoir" :244,
"Brother Genitivi" :237,
"Czibor" :230,
"Dog" :228,
"Vartag Gavorn" :219,
"Slim Couldry" :195,
"Lanaya" :192,
"Lord Harrowmont" :192,
"Isolde" :189,
"Murdock" :183,
"Dulin Forender" :167,
"Riordan" :164,
"Niall" :159,
"Flemeth" :156,
"Isabela" :140,
"Teyrna Eleanor" :140,
"Sarel" :134,
"Tamlen" :134,
"Mouse" :133,
"Owen" :133,
"Cammen" :130,
"Ser Perth" :127,
"Hermit" :125,
"Master Ignacio" :118,
"Teyrn Bryce Cousland" :118,
"Cullen" :118,
"Kolgrim" :112,
"Cyrion" :112,
"Gossip 1" :110,
"Ser Nancine" :110,
"Dwyn" :109,
"Connor" :109,
"The Guardian" :105,
"Mithra" :105,
"Master Wade" :105,
"Mardy" :105,
"Lloyd" :105,
"Keeper Marethari" :104,
"Alarith" :104,
"Herren" :103,
"Beraht" :103,
"Imposter Weylon" :99,
"Vaughan" :99,
"Nan" :98,
"Lord Ronus Dace" :98,
"Godwin" :97,
"Nadezda" :96,
"Gheyna" :96,
"Bella" :95,
"Zerlinda" :93,
"Athras" :93,
"Ser Gilmore" :93,
"Arl Howe" :93,
"Swiftrunner" :92,
"Gossip 2" :92,
"Revered Mother (Lothering)" :91,
"King Cailan" :90,
"Bandit Leader (Lothering)" :90,
"Lily" :90,
"Ser Bryant" :87,
"Sister Justine" :87,
"The Lady of the Forest" :86,
"Prince Trian Aeducan" :86,
"Hahren Paivel" :85,
"Ruck" :83,
"Mother Hannah" :82,
"Corra" :81,
"Kaitlyn" :81,
"Tristal" :80,
"Ser Otto" :80,
"Valendrian" :80,
"Dairren" :79,
"Varathorn" :78,
"Mitteran" :77,
"SYSTEM" :76,
"Kalah" :75,
"Daveth" :73,
"Ostagar Kennel Master" :72,
"Branka" :72,
"Dagna" :72,
"Brother Burkel" :72,
"Erlina" :72,
"Iona" :72,
"Ser Jory" :70,
"Sergeant Kylon" :70,
"Rogek" :69,
"Fergus" :69,
"Merrill" :68,
"Sloth Demon (Bereskarn)" :66,
"Kardol" :65,
"Baizyl" :65,
"Leorah" :65,
"Filda" :64,
"Grand Oak" :64,
"Master Tilver" :63,
"Faryn" :62,
"Ash Warrior Leader" :62,
"Innkeeper (Spoiled Princess)" :62,
"Deygan" :61,
"Mainar" :61,
"Owain" :60,
"Ashalle" :60,
"Caladrius" :59,
"Desire Demon (Arl of Redcliffe)" :59,
"Bevin" :59,
"Elora" :58,
"Kester" :58,
"Felsi" :57,
"Nerav Helmi" :56,
"Barlin" :56,
"Ser Cauthrien" :56,
"Hespith" :55,
"Caridin" :55,
"Janar" :55,
"Unscrupulous Merchant (Lothering)" :55,
"King Endrin Aeducan" :55,
"Orta" :54,
"Liselle" :54,
"Ser Donall" :53,
"Carroll" :53,
"Jarvia" :53,
"Haven Child" :52,
"Goilinar" :50,
"Berwick" :49,
"Gwiddon" :48,
"Nesiara" :48,
"Lady Helmi" :48,
"Lord Denek Helmi" :47,
"Oskias" :47,
"Militia 5" :47,
"Fenarel" :46,
"Ademaro" :46,
"Bandit (Cut)" :45,
"Ban Revenge" :45,
"Lady Dace" :45,
"Drunk Militiaman 1" :44,
"Varick" :43,
"Proving Trainer" :43,
"Deep Roads Guard Commander" :42,
"Spirit of Valor" :42,
"Nessa" :42,
"Arcane Warrior Phylactery" :41,
"Elder Miriam" :41,
"Aldous" :41,
"Danyla" :40,
"Uldred" :40,
"Keili" :40,
"Olinda" :40,
"Drunk Militiaman 2" :40,
"Pick" :39,
"Captain (Fort Drakon)" :39,
"Bann Alfstanna" :39,
"Scholar Gertek" :38,
"Teli" :38,
"Tomas" :38,
"Steward Bandelor" :37,
"Figor" :37,
"Drunk Militiaman 3" :37,
"Panowen" :36,
"Bann Sighard" :36,
"Starved Veteran" :36,
"Loilinar" :35,
"Allison" :35,
"Farmer (Unique - Lothering)" :35,
"Sister Theohild" :35,
"Ser Landry" :35,
"Eadric" :35,
"Nessa's Father" :35,
"Alienage Commoner" :35,
"Goldanna" :35,
"Nevin" :34,
"Sergeant Tanna" :34,
"Colonel (Fort Drakon)" :34,
"Kasch" :34,
"Militia 1" :34,
"Orzammar Crier (Harrowmont)" :33,
"Orzammar Crier (Bhelen)" :33,
"Loghain Guard Captain" :33,
"Desire Demon bewitching Templar" :33,
"Sweeney" :33,
"Lord Bemot" :33,
"Scout" :33,
"Silk Merchant" :33,
"Unna" :33,
"Scavenger (Sword of the Beresaad)" :32,
"Tranquil Mage (Ostagar)" :32,
"Lord Anwer Dace" :32,
"Little Boy (Lothering)" :32,
"Frandlin Ivo" :32,
"Militia 2" :32,
"Hungry Deserter" :31,
"Seweryn" :31,
"Captain of the Guard (Orzammar)" :31,
"Devera" :31,
"Senior Enchanter Torrin" :31,
"Militia 3" :31,
"Haven Villager Guard" :30,
"Mother Perpetua" :30,
"Storage Guard 1 (Fort Drakon)" :30,
"Messenger Boy" :30,
"Elf Boy (Alienage)" :30,
"Lord Meino" :30,
"Bartender (Tapsters)" :30,
"Redcliffe Knight 1" :30,
"Eirik" :29,
"Roggar" :29,
"Captain Chase" :29,
"Restless Guard" :29,
"Eamon's Bodyguard" :29,
"Mother Mallol" :29,
"Militia 4" :29,
"Chasind Doomsayer" :28,
"Gnawed Noble Tavern Waitress" :28,
"Sanga" :28,
"Pol" :28,
"Master Ilen" :28,
"Gevere" :27,
"Aneirin" :27,
"Ostagar Prison Guard" :27,
"Piotin" :27,
"Garin" :27,
"Storage Guard 2 (Fort Drakon)" :27,
"Paedan" :27,
"Ser Landry's 2nd" :27,
"Valora" :27,
"Recruit Cody" :26,
"Nab" :26,
"Bar Soldier" :26,
"Gang Leader 3" :26,
"Oswyn" :26,
"Off-Duty Guard 2 (Fort Drakon)" :26,
"Assistant Quartermaster" :26,
"Sister Augustine" :26,
"Fight Fan" :26,
"Recruit Saevrin" :25,
"Recruit Mendel" :25,
"Dultry" :25,
"Orzammar Guard (if stealing)" :25,
"Myaja" :25,
"Dwarven Scholar" :25,
"Disguised Crow" :25,
"Gang Leader 1" :25,
"Off-Duty Guard 1 (Fort Drakon)" :25,
"Door Guard 1 (Fort Drakon)" :25,
"Deranged Beggar" :25,
"Nelaros" :25,
"Bruntin Vollney" :25,
"Assassin (Rothel)" :24,
"Ban Instructor" :24,
"Legnar" :24,
"Dalish Elf Man 2 (Brecilian)" :24,
"Dalish Elf Man (Brecilian)" :24,
"Danal" :24,
"Lothering Kid" :24,
"Idle Dwarf" :24,
"Door Guard 2 (Fort Drakon)" :24,
"Scared Elf (Run-Down Apartments)" :24,
"Blood Mage 2 (Circle Tower)" :24,
"Oriana" :24,
"Drunk Elf 1 (Alienage)" :24,
"Redcliffe Knight 3" :24,
"Redcliffe Knight 2" :24,
"Flynn (Rhuggers)" :23,
"Rhuggers" :23,
"Glavonak Trader" :23,
"Alimar" :23,
"Arms Merchant (Commons)" :23,
"Orzammar Guard (Frostback Entrance)" :23,
"Dalish Elf Woman 2 (Brecilian)" :23,
"Dalish Elf Woman (Brecilian)" :23,
"Chanter Devons" :23,
"Bandit (Lothering)" :23,
"Gerient" :23,
"Gang Leader 2" :23,
"Sloth" :23,
"Elva" :23,
"Cut Dwarf Thug 3" :22,
"Cut Dwarf Thug 2" :22,
"Cut Dwarf Thug 1" :22,
"Guard (Beraht Hideout)" :22,
"Evil Party Warrior" :22,
"Bandit Surrender" :22,
"Bandit Student 2" :22,
"Bandit Student 1" :22,
"Lucjan" :22,
"Imrek" :22,
"Disgruntled Patron" :22,
"Arl Wulff" :22,
"Crimson Oars Leader" :22,
"Ignacio Thug" :22,
"Oren" :22,
"Elf Girl (Alienage)" :22,
"Provings Gate Guard" :22,
"Cut Refugee Leader" :21,
"Cut Refugee 3" :21,
"Cut Refugee 2" :21,
"Cut Refugee 1" :21,
"Evil Party Rogue" :21,
"Evil Party Mage" :21,
"Soldier on Bridge (Ostagar)" :21,
"Jailor (Fort Drakon)" :21,
"Marjolaine" :21,
"Petra" :21,
"Captain of the Guard" :21,
"Cut Panicked Female Dwarf" :20,
"Ostagar Priest" :20,
"Farinden" :20,
"Ser Irminric" :20,
"Healer Veras" :20,
"Young Male Mage Apprentice" :20,
"Weapon Merchant (Orzammar)" :20,
"Dwarf Noble Escort" :20,
"Lesser Dwarven Noble" :20,
"Everd" :20,
"Cell Guard" :20,
"Redcliffe Doomsayer" :20,
"Cut Male Servant" :19,
"Cut Female Servant" :19,
"Cut Royal Guard" :19,
"Cut Male Dwarf Noble 2" :19,
"Cut Male Dwarf Noble 1" :19,
"Cut Female Dwarf Noble 2" :19,
"Cut Female Dwarf Noble 1" :19,
"Cut Greywarden" :19,
"Gevere Cultist Minion" :19,
"Gevere Cultist" :19,
"Redcliffe Castle Guard" :19,
"Armor Merchant" :19,
"Male Redcliffe Villager 2" :19,
"Male Redcliffe Villager 1" :19,
"Female Redcliffe Villager 2" :19,
"Female Redcliffe Villager 1" :19,
"Kevhanar" :19,
"Ordel" :19,
"Tevinter Guard 1" :19,
"Elf Man 1 (Crowd)" :19,
"Sleeping Guard (Arl of Denerim Estate)" :19,
"Dilwyn" :19,
"City Elf Beggar (Alienage)" :19,
"Valena" :19,
"Quartermaster (Redcliffe)" :19,
"Male Child" :18,
"Quartermaster (Ostagar)" :18,
"Wojech Ivo" :18,
"Young brunette Chantry Sister (Lothering)" :18,
"Bann Ceorlic" :18,
"Templar (Circle Tower)" :18,
"Gethon" :18,
"Mercenary Captain (Deep Roads)" :18,
"Haven Shopkeeper" :17,
"Male Duster 3" :17,
"Male Deshyr 1 (Bhelen)" :17,
"Miner (Lothering)" :17,
"Robbed Elven Man" :17,
"Helpful Refugee" :17,
"Commander Telm" :17,
"Taliesen" :17,
"Prisoner (Fort Drakon)" :17,
"White Falcon Veteran" :17,
"Taeodor" :17,
"Dark-haired Proving Master" :17,
"Soldier guarding Wilds Gate" :16,
"Ostagar Sergeant" :16,
"Male Deshyr 2 (Bhelen)" :16,
"Proving Armsman" :16,
"Raelnor" :16,
"Elf Woman 2 (Crowd)" :16,
"City Gate Defender" :16,
"Lady Landra" :16,
"Gambling Guard (Highever)" :16,
"Maren" :16,
"King's Guard" :15,
"Lord Darvianak Vollney" :15,
"Ahren" :15,
"Gatekeeper (Werewolf)" :15,
"Messenger (Dalish Camp)" :15,
"Chantry Brother (Brazier)" :15,
"Ser Maron" :15,
"Rogue Board" :15,
"Mages' Collective Liaison" :15,
"Taoran" :15,
"Elf Woman 1 (Crowd)" :15,
"Templar Bran" :15,
"Cassian" :15,
"Blacksmith" :15,
"Cut Scholar" :14,
"Rothel" :14,
"Cut Refugee 4" :14,
"Cut Refugee" :14,
"Cut Proving Guard" :14,
"Miner 4" :14,
"Miner 3" :14,
"Miner 2" :14,
"Loghain's Porter" :14,
"Karalen" :14,
"Intro" :14,
"Generic Dwarven Guard" :14,
"Fennon Villager" :14,
"Female Fen Villager" :14,
"Felerron" :14,
"Dalish Elf (M)" :14,
"Axe Villager 2" :14,
"Ostagar Cleric" :14,
"Jarvia's Thug (Abandoned House)" :14,
"Dalish Elf Child (Brecilian)" :14,
"Shady Patron" :14,
"Sandal" :14,
"Loghain Commander (Lothering)" :14,
"Lothering Chantry Templar" :14,
"Lookout Templar (Lothering)" :14,
"Brunette Chantry Sister (Lothering)" :14,
"Hanald Farmerson" :14,
"Blackstone Liaison" :14,
"Healer Saritor" :14,
"Arl Bryland" :14,
"Alert Guard" :14,
"Casivir" :14,
"City Gate Defender 2" :14,
"Male Laboratory Mage 2" :14,
"Male Human Enchanter (Mentor 3)" :14,
"Off-Duty Guard 1 (Arl of Denerim Estate)" :14,
"Elf Servant (Alienage)" :14,
"Drunken Elf 2 (Alienage)" :14,
"Dwarven Male Noble 1" :14,
"Dwyn's Guard 2" :14,
"Dwyn's Guard 1" :14,
"Tower Soldier" :13,
"Tower Scout" :13,
"Telmanes" :13,
"Manservant (Rothel)" :13,
"Loghain's Scout Leader" :13,
"Loghain's Scout 3" :13,
"Loghain's Scout 2" :13,
"Loghain's Scout" :13,
"Liselle's Brother" :13,
"Forward Scout" :13,
"Old Bar Soldier" :13,
"Ban Merch" :13,
"Loghain's Guard" :13,
"Male Duster 1" :13,
"Female Deshyr 2 (Harrowmont)" :13,
"Male Refugee 2 (Lothering)" :13,
"Male Refugee (Lothering)" :13,
"Female Refugee 3 (Lothering)" :13,
"Female Refugee 2 (Lothering)" :13,
"Female Refugee (Lothering)" :13,
"Delli" :13,
"Layson" :13,
"Sammael" :13,
"Tornas the Deserter" :13,
"Templar 1 (Denerim Chantry)" :13,
"Captive Elf" :13,
"Elf Man 2 (Crowd)" :13,
"Alienage Guard (Denerim)" :13,
"Lady Sophie's Guard" :13,
"Adwen" :13,
"Guard Captain (Arl of Denerim Estate)" :13,
"Redcliffe Messenger" :13,
"Desperate Merchant" :13,
"Cut Quartermaster" :12,
"Phere Messenger" :12,
"Gaeron" :12,
"Barric" :12,
"Qunari Beresaad 2 (Asaad)" :12,
"Qunari Beresaad 1 (Karashok)" :12,
"Panicked Soldier" :12,
"Gossiping Soldier 1 (Ostagar)" :12,
"Tower Guard" :12,
"Female Noble 3 (Diamond Quarter)" :12,
"Dalish Apprentice" :12,
"Adventurer Leader (Careless Accusations)" :12,
"Feoran" :12,
"Emissary Pether" :12,
"Rexel" :12,
"Sick Male Elf" :12,
"Sick Female Elf" :12,
"Haggard Human" :12,
"Edwina" :12,
"Bewitched Templar" :12,
"Howe Guard" :12,
"Elderly Male Human Mage" :12,
"Male Human Enchanter (Mentor 1)" :12,
"City Elf Child" :12,
"Armor Merchant (Orzammar)" :12,
"Returned Redcliffe Knight" :12,
"Redcliffe Guard" :12,
"Scavenger (Redcliffe)" :12,
"Wilhelm Journal (Cut Content)" :11,
"Uller" :11,
"Haven Nurse" :11,
"Templar (Narrow Road)" :11,
"Chatting Soldier (Ostagar)" :11,
"Ostagar Nurse" :11,
"Female Knight (Ostagar)" :11,
"Knight (Ostagar)" :11,
"Female Duster 2" :11,
"Male Noble 1 (Diamond Quarter)" :11,
"Nug Wrangler Boermor" :11,
"Female Commoner 4 (Commons)" :11,
"Farmer (Lothering Chantry)" :11,
"Chantry Sister (Lothering)" :11,
"Knight-Commander Tavish" :11,
"Pomer the Guard" :11,
"Lieutenant Cadrim" :11,
"Emissary Fellhammer" :11,
"Emissary Caron" :11,
"Side Guard" :11,
"Shaevra" :11,
"Agatha (Cook)" :11,
"Cesar" :11,
"Kinnon" :11,
"Human Scavenger 2" :11,
"Dwarven Female Noble 1" :11,
"Suspicious Redcliffe Soldier" :11,
"Redcliffe Recruit 4" :11,
"Redcliffe Recruit 3" :11,
"Redcliffe Recruit 2" :11,
"Redcliffe Recruit 1" :11,
"Redcliffe New Guard" :11,
"Golem 1" :10,
"Haven Villager" :10,
"Female Duster 3" :10,
"Male Deshyr 1 (Harrowmont)" :10,
"Female Deshyr 2 (Bhelen)" :10,
"Female Deshyr 1 (Bhelen)" :10,
"Shaper Assistant Milldrate" :10,
"Male Noble 3 (Diamond Quarter)" :10,
"Male Noble 2 (Diamond Quarter)" :10,
"Male Dwarf 5 (Tapsters)" :10,
"Male Commoner 3 (Commons)" :10,
"Male Surface Dwarf 2 (Frostback)" :10,
"Older Customer (Dane's Refuge)" :10,
"Customer (Dane's Refuge)" :10,
"Jetta" :10,
"Propagandist" :10,
"Orphan Ollie" :10,
"Female Human Enchanter (Mentor 2)" :10,
"Male Dalish Hunter (Sabrae)" :10,
"Dwarven Male Noble 3" :10,
"Dwarven Male Noble 2" :10,
"Dwarven Female Noble 3" :10,
"Dwarven Female Noble 2" :10,
"Boy (Redcliffe Chantry)" :10,
"Girl (Redcliffe Chantry)" :10,
"Glavonak Bandit" :9,
"Weaver Stand" :9,
"Cathaire" :9,
"Haven Chantry Villager" :9,
"Fearful Soldier (Ostagar)" :9,
"Affronted Knight" :9,
"Male Deshyr 2 (Harrowmont)" :9,
"Herbalist Widron" :9,
"Female Noble 2 (Diamond Quarter)" :9,
"Female Noble 1 (Diamond Quarter)" :9,
"Bhelen Supporter 1" :9,
"Deep Roads Guard 1" :9,
"Female Commoner 1 (Commons)" :9,
"Dwarven Beggar (Hall of Heroes)" :9,
"Werewolf 3" :9,
"Werewolf 2" :9,
"Elf Woman (with Sarel)" :9,
"Knight-Commander Harrith" :9,
"Gabon" :9,
"Emissary Bulfa" :9,
"Revered Mother (Fade)" :9,
"Assassin Leader (Marjolaine)" :9,
"Tevinter Guard 2" :9,
"Loghain's Seneschal" :9,
"Alienage Defender (with Shianni)" :9,
"Off-Duty Guard 2 (Arl of Denerim Estate)" :9,
"Lesser Noble watching Provings" :9,
"Senior Enchanter (Redcliffe)" :9,
"Redcliffe Captain" :9,
"Redcliffe Village Survivor" :9,
"Circle Letter" :9,
"Suspicious Mother (Haven)" :8,
"Complaining Soldier (Ostagar)" :8,
"Male Elf Servant (Ostagar)" :8,
"Female Duster 1" :8,
"House Aeducan Male Noble 3" :8,
"Harrowmont Supporter 1" :8,
"Male Dwarf 4 (Proving Arena)" :8,
"Jetrin" :8,
