folder,game,VGDCName,TvTName,tropeName,subverted,tropeNotes,tropeURL
../data/ElderScrolls/Daggerfall/,The Elder Scrolls II: Daggerfall,The Emperor and The Blades,The Emperor and The Blades,Anti-Magic,0," [Anti-Magic](/pmwiki/pmwiki.php/Main/AntiMagic): If your custom class has Spell Absorption &amp; various immunities, and even better if this is combined with high Intelligence &amp; Willpower.",/pmwiki/pmwiki.php/Main/AntiMagic
../data/ElderScrolls/Daggerfall/,The Elder Scrolls II: Daggerfall,The Emperor and The Blades,The Emperor and The Blades,The Chosen One,0," [The Chosen One](/pmwiki/pmwiki.php/Main/TheChosenOne): Averted; the player is simply someone the Emperor hires by virtue of previous work experience with his agents, making them unique amongst the PCs of the five main series TES games.<ul>
-   At the end, if you try to keep the key and activate Numidium for your own use, you find out just how averted this is — it crushes you dead and goes on a berserk rampage through the empire.</ul>",/pmwiki/pmwiki.php/Main/TheChosenOne
../data/ElderScrolls/Daggerfall/,The Elder Scrolls II: Daggerfall,The Emperor and The Blades,The Emperor and The Blades,Crazy-Prepared,0," [Crazy-Prepared](/pmwiki/pmwiki.php/Main/CrazyPrepared): You'd better be. You'll never know if the dungeon you're about to save the damsel is a Vampire Coven or not. You'd better stock up with extra weapons, trinkets, healing and resistance potions and so on.",/pmwiki/pmwiki.php/Main/CrazyPrepared
../data/ElderScrolls/Daggerfall/,The Elder Scrolls II: Daggerfall,The Emperor and The Blades,The Emperor and The Blades,Crippling Overspecialization,0, [Crippling Overspecialization](/pmwiki/pmwiki.php/Main/CripplingOverspecialization): Possible through the custom class system.,/pmwiki/pmwiki.php/Main/CripplingOverspecialization
../data/ElderScrolls/Daggerfall/,The Elder Scrolls II: Daggerfall,The Emperor and The Blades,The Emperor and The Blades,Empowered Badass Normal,0," [Empowered Badass Normal](/pmwiki/pmwiki.php/Main/EmpoweredBadassNormal): It's possible for the Agent to become a vampire, a werewolf or a wereboar.",/pmwiki/pmwiki.php/Main/EmpoweredBadassNormal
../data/ElderScrolls/Daggerfall/,The Elder Scrolls II: Daggerfall,The Emperor and The Blades,The Emperor and The Blades,Glass Cannon,0," [Glass Cannon](/pmwiki/pmwiki.php/Main/GlassCannon): If your custom class forbids all armor and only gains 1 hit point a level, but otherwise has good skills.",/pmwiki/pmwiki.php/Main/GlassCannon
../data/ElderScrolls/Daggerfall/,The Elder Scrolls II: Daggerfall,The Emperor and The Blades,The Emperor and The Blades,Good Old Fisticuffs,0," [Good Old Fisticuffs](/pmwiki/pmwiki.php/Main/GoodOldFisticuffs): Always an option, unless your class forbids it. Notable for ignoring all material immunities.",/pmwiki/pmwiki.php/Main/GoodOldFisticuffs
../data/ElderScrolls/Daggerfall/,The Elder Scrolls II: Daggerfall,The Emperor and The Blades,The Emperor and The Blades,Healing Factor,0," [Healing Factor](/pmwiki/pmwiki.php/Main/HealingFactor): Health regeneration during rest is mainly determined by your Endurance. It's advised to have high Endurance when you have to rest in a dungeon in order to save time, since most quests have a very strict time limit.",/pmwiki/pmwiki.php/Main/HealingFactor
../data/ElderScrolls/Daggerfall/,The Elder Scrolls II: Daggerfall,The Emperor and The Blades,The Emperor and The Blades,The Hero Dies,0," [The Hero Dies](/pmwiki/pmwiki.php/Main/TheHeroDies): And also lives. As revealed in *[The Elder Scrolls III: Morrowind](/pmwiki/pmwiki.php/VideoGame/TheElderScrollsIIIMorrowind)*, the Agent entering Aetherius caused a ""Dragon Break"", resulting in all of the game's possible endings happening simultaneously. As a result,  (SPOILER) the Agent was killed when they tried to activate the Numidium for themselves and [their soul was destroyed](/pmwiki/pmwiki.php/Main/DeaderThanDead) in the process. But they also handed off the Mantella to somebody else and survived. It's a stumper. ",/pmwiki/pmwiki.php/Main/TheHeroDies
../data/ElderScrolls/Daggerfall/,The Elder Scrolls II: Daggerfall,The Emperor and The Blades,The Emperor and The Blades,Jack of All Stats,0, [Jack of All Stats](/pmwiki/pmwiki.php/Main/JackOfAllStats): Possible by making the simplest custom class possible.,/pmwiki/pmwiki.php/Main/JackOfAllStats
