folder,maxF.maleWords,maxF.femaleWords,maxM.maleWords,maxM.femaleWords,totalNonChoice.maleWords,totalNonChoice.femaleWords
../data/ElderScrolls/Morrowind/,NA,NA,NA,NA,22825,11361
../data/ElderScrolls/Morrowind/,7,0,7,0,NA,NA
../data/ElderScrolls/Morrowind/,21,0,22,0,NA,NA
../data/ElderScrolls/Morrowind/,0,99,0,18,NA,NA
../data/ElderScrolls/Morrowind/,0,125,0,43,NA,NA
../data/ElderScrolls/Morrowind/,0,62,0,62,NA,NA
../data/ElderScrolls/Morrowind/,0,136,0,36,NA,NA
../data/ElderScrolls/Morrowind/,68,0,68,0,NA,NA
../data/ElderScrolls/Morrowind/,24,0,43,0,NA,NA
../data/ElderScrolls/Morrowind/,55,0,55,0,NA,NA
../data/ElderScrolls/Morrowind/,21,0,23,0,NA,NA
../data/ElderScrolls/Morrowind/,66,0,66,0,NA,NA
../data/ElderScrolls/Morrowind/,33,0,44,0,NA,NA
../data/ElderScrolls/Morrowind/,51,0,51,0,NA,NA
../data/ElderScrolls/Morrowind/,25,0,32,0,NA,NA
../data/ElderScrolls/Morrowind/,80,0,80,0,NA,NA
../data/ElderScrolls/Morrowind/,25,0,33,0,NA,NA
../data/ElderScrolls/Morrowind/,62,0,62,0,NA,NA
../data/ElderScrolls/Morrowind/,25,0,108,0,NA,NA
../data/ElderScrolls/Morrowind/,6,0,11,0,NA,NA
../data/ElderScrolls/Morrowind/,51,0,51,0,NA,NA
../data/ElderScrolls/Morrowind/,0,24,0,21,NA,NA
../data/ElderScrolls/Morrowind/,0,25,0,20,NA,NA
../data/ElderScrolls/Morrowind/,0,113,0,93,NA,NA
../data/ElderScrolls/Morrowind/,0,60,0,60,NA,NA
../data/ElderScrolls/Morrowind/,0,81,0,81,NA,NA
../data/ElderScrolls/Morrowind/,0,14,0,14,NA,NA
../data/ElderScrolls/Morrowind/,0,91,0,56,NA,NA
../data/ElderScrolls/Morrowind/,0,31,0,31,NA,NA
../data/ElderScrolls/Morrowind/,0,53,0,53,NA,NA
../data/ElderScrolls/Morrowind/,0,28,0,20,NA,NA
../data/ElderScrolls/Morrowind/,0,51,0,49,NA,NA
../data/ElderScrolls/Morrowind/,0,29,0,29,NA,NA
../data/ElderScrolls/Morrowind/,0,51,0,51,NA,NA
../data/ElderScrolls/Morrowind/,0,47,0,47,NA,NA
../data/ElderScrolls/Morrowind/,0,17,0,17,NA,NA
../data/ElderScrolls/Morrowind/,0,50,0,50,NA,NA
../data/ElderScrolls/Morrowind/,0,19,0,19,NA,NA
../data/ElderScrolls/Morrowind/,0,182,0,120,NA,NA
../data/ElderScrolls/Morrowind/,0,11,0,11,NA,NA
../data/ElderScrolls/Morrowind/,20,0,80,0,NA,NA
../data/ElderScrolls/Morrowind/,0,32,0,9,NA,NA
../data/ElderScrolls/Morrowind/,0,109,0,109,NA,NA
../data/ElderScrolls/Morrowind/,14,0,18,0,NA,NA
../data/ElderScrolls/Morrowind/,34,0,45,0,NA,NA
../data/ElderScrolls/Morrowind/,0,128,0,42,NA,NA
../data/ElderScrolls/Morrowind/,0,86,0,66,NA,NA
../data/ElderScrolls/Morrowind/,18,0,26,0,NA,NA
../data/ElderScrolls/Morrowind/,0,69,0,11,NA,NA
../data/ElderScrolls/Morrowind/,32,0,56,0,NA,NA
../data/ElderScrolls/Morrowind/,22,0,54,0,NA,NA
../data/ElderScrolls/Morrowind/,14,0,14,0,NA,NA
../data/ElderScrolls/Morrowind/,20,0,219,0,NA,NA
../data/ElderScrolls/Morrowind/,47,0,47,0,NA,NA
../data/ElderScrolls/Morrowind/,0,38,0,38,NA,NA
../data/ElderScrolls/Morrowind/,0,46,0,31,NA,NA
../data/ElderScrolls/Morrowind/,0,63,0,63,NA,NA
../data/ElderScrolls/Morrowind/,0,71,0,31,NA,NA
../data/ElderScrolls/Morrowind/,15,0,108,0,NA,NA
../data/ElderScrolls/Morrowind/,0,24,0,10,NA,NA
../data/ElderScrolls/Morrowind/,0,28,0,28,NA,NA
../data/ElderScrolls/Morrowind/,0,19,0,7,NA,NA
