maleWords,femaleWords
493,291
497,285
583,377
563,333
390,437
749,494
540,202
535,321
500,393
623,404
604,354
674,476
556,289
424,364
634,349
774,470
625,521
625,372
702,162
551,295
448,453
569,349
537,331
555,384
584,350
551,505
521,303
533,559
708,369
444,314
656,290
468,414
492,420
719,468
604,352
592,356
647,531
622,278
696,251
517,427
551,335
629,319
621,355
645,289
476,300
651,499
525,374
647,319
665,465
550,473
606,187
611,509
348,348
654,345
581,300
597,497
462,471
504,567
432,383
540,296
759,329
509,410
526,301
714,357
660,376
372,458
602,326
565,358
708,428
455,380
662,343
726,253
521,386
425,288
473,356
512,300
702,448
471,394
646,364
479,201
648,346
629,458
648,326
490,412
522,327
564,410
391,280
678,403
497,254
729,504
451,210
565,421
607,429
561,373
599,290
643,370
428,329
640,541
512,446
670,418
