folder,game,VGDCName,TvTName,tropeName,subverted,tropeNotes,tropeURL
../data/FinalFantasy/FFV/,Final Fantasy V,In General,In General,The Anti-Nihilist,0," [The Anti-Nihilist](/pmwiki/pmwiki.php/Main/TheAntiNihilist): The playable party collectively represents this in spite of all the suffering done to and by them in direct opposition to Kefka's [Straw Nihilist](/pmwiki/pmwiki.php/Main/StrawNihilist) stance.
QUOTE **Kefka:** Why do people insist on creating things that will inevitably be destroyed? Why do people cling to life, knowing that they must someday die? ...Knowing that none of it will have meant anything once they do?  
**Terra:** Because it's not the end that matters! It's knowing that you have something to live for right now, at this moment! Something you've worked for... something that's worth protecting! As long as you have that...that's enough!
",/pmwiki/pmwiki.php/Main/TheAntiNihilist
../data/FinalFantasy/FFV/,Final Fantasy V,In General,In General,Character Development,0," [Character Development](/pmwiki/pmwiki.php/Main/CharacterDevelopment): This is basically *Character Development: The Game*. Terra allows herself to love others, Locke gets over his loved one's death, Celes learns to show affection like a human being, Cyan gets over his [Survivor Guilt](/pmwiki/pmwiki.php/Main/SurvivorGuilt), and so on. Kefka, being a [Straw Nihilist](/pmwiki/pmwiki.php/Main/StrawNihilist) subject to [Sanity Slippage](/pmwiki/pmwiki.php/Main/SanitySlippage), shows the dark side of this trope when his rampant thirst for destruction eventually leads him to the conclusion that everything exists only to be destroyed, preferably by him.",/pmwiki/pmwiki.php/Main/CharacterDevelopment
../data/FinalFantasy/FFV/,Final Fantasy V,In General,In General,Desperation Attack,0," [Desperation Attack](/pmwiki/pmwiki.php/Main/DesperationAttack): As a precursor to the [Limit Break](/pmwiki/pmwiki.php/Main/LimitBreak) that made a proper debut as a battle mechanic in the [next game](/pmwiki/pmwiki.php/VideoGame/FinalFantasyVII), everyone  <sup>note </sup>  except Gau and Umaro; (they only execute when the Attack command is used, and Gau and Umaro don't have one)  has one super-strong attack they may perform randomly while in critical health.",/pmwiki/pmwiki.php/Main/DesperationAttack
../data/FinalFantasy/FFV/,Final Fantasy V,In General,In General,Empowered Badass Normal,0," [Empowered Badass Normal](/pmwiki/pmwiki.php/Main/EmpoweredBadassNormal): It's a plot point. Aside from Terra and Celes, and later Strago, none of the Returners have access to magic <sup>note </sup>  ignoring [Gameplay and Story Segregation](/pmwiki/pmwiki.php/Main/GameplayAndStorySegregation) where many of their special attacks deal magical damage . Sure, their swords and shields and such are doing well enough to hold off the Empire for now, but they need magic of their own to get an edge and go on the offensive. Thus they acquire Magicite and begin to learn magic to combat the Empire's Magitek.",/pmwiki/pmwiki.php/Main/EmpoweredBadassNormal
../data/FinalFantasy/FFV/,Final Fantasy V,In General,In General,Ensemble Cast,0," [Ensemble Cast](/pmwiki/pmwiki.php/Main/EnsembleCast): A famous example in the series. Terra is *mostly* considered the main heroine by virtue of being the initial character and her personal character quest and backstory being critical to the first half of the game. However, she’s sidelined for the second half of the game and does not even need to be re-recruited. <sup>note </sup>  She still returns to guide the party out of Kefka's tower after defeating the [Final Boss](/pmwiki/pmwiki.php/Main/FinalBoss) regardless whether she has been re-recruited or not however.  Meanwhile Celes takes over the initial character for the second half and features prominently in the first, Locke plays as [The Lancer](/pmwiki/pmwiki.php/Main/TheLancer) to Terra and Celes for much of the game, and Edgar and Sabin are important characters throughout the game to a lesser extent. Even with Terra, there is no one central character one can point to without being challenged.",/pmwiki/pmwiki.php/Main/EnsembleCast
../data/FinalFantasy/FFV/,Final Fantasy V,In General,In General,Optional Party Member,0," [Optional Party Member](/pmwiki/pmwiki.php/Main/OptionalPartyMember): Exaggerated. Everyone but Celes, Edgar and Setzer is optional in the World of Ruin. Even major characters like Terra, Locke and Sabin are not required to finish the game, although Terra still come [Back for the Finale](/pmwiki/pmwiki.php/Main/BackForTheFinale). A very common challenge run is ""CES"" - beating the game with just Celes, Edgar, and Setzer.",/pmwiki/pmwiki.php/Main/OptionalPartyMember
../data/FinalFantasy/FFV/,Final Fantasy V,In General,In General,Patrick Stewart Speech,0," [Patrick Stewart Speech](/pmwiki/pmwiki.php/Main/PatrickStewartSpeech): The whole party (minus the optional ones) give one to Kefka when he tells the party that [life is meaningless](/pmwiki/pmwiki.php/Main/StrawNihilist). Suffice to say, he is not amused.
QUOTE **Kefka:** [Bleh! You people make me sick! You sound like the chapters from a self-help book!](/pmwiki/pmwiki.php/Main/ShutUpKirk)
",/pmwiki/pmwiki.php/Main/PatrickStewartSpeech
../data/FinalFantasy/FFV/,Final Fantasy V,In General,In General,Sliding Scale of Idealism Versus Cynicism,0," [Sliding Scale of Idealism Versus Cynicism](/pmwiki/pmwiki.php/Main/SlidingScaleOfIdealismVersusCynicism): Kefka believes that life is meaningless because everything you create will eventually be destroyed and eventually you will die. Terra then states that the sum of one's life isn't what important; it's the day-to-day concerns, the personal triumphs, the celebration of life and love, and being able to experience the joy that every day of your life can bring.",/pmwiki/pmwiki.php/Main/SlidingScaleOfIdealismVersusCynicism
../data/FinalFantasy/FFV/,Final Fantasy V,Terra Branford,Terra Branford,10-Minute Retirement,0," [10-Minute Retirement](/pmwiki/pmwiki.php/Main/TenMinuteRetirement): All characters experience this to some degree in the World of Ruin, but Terra's is the most prominent.",/pmwiki/pmwiki.php/Main/TenMinuteRetirement
../data/FinalFantasy/FFV/,Final Fantasy V,Terra Branford,Terra Branford,Ace Pilot,0, [Ace Pilot](/pmwiki/pmwiki.php/Main/AcePilot): Terra has access to more attacks in the Magitek Armor in addition of to the standard three elemental beams and one healing move. In the [Game Boy Advance version](/pmwiki/pmwiki.php/Main/UpdatedRerelease) her class name is Magitek Elite.,/pmwiki/pmwiki.php/Main/AcePilot
../data/FinalFantasy/FFV/,Final Fantasy V,Terra Branford,Terra Branford,Action Girl,0, [Action Girl](/pmwiki/pmwiki.php/Main/ActionGirl): She was raised to be a living weapon. It shows; in terms of pure stats Terra is the best party member in the game.,/pmwiki/pmwiki.php/Main/ActionGirl
../data/FinalFantasy/FFV/,Final Fantasy V,Terra Branford,Terra Branford,Action Mom,0, [Action Mom](/pmwiki/pmwiki.php/Main/ActionMom): The children of Mobliz [see her as their Mama](/pmwiki/pmwiki.php/Main/ParentalSubstitute) after their real parents were killed by Kefka's Light of Judgment.,/pmwiki/pmwiki.php/Main/ActionMom
../data/FinalFantasy/FFV/,Final Fantasy V,Terra Branford,Terra Branford,Adaptation Dye-Job,0," [Adaptation Dye-Job](/pmwiki/pmwiki.php/Main/AdaptationDyeJob): She's blonde in the artwork but has green hair in-game. When *[Dissidia Final Fantasy](/pmwiki/pmwiki.php/VideoGame/DissidiaFinalFantasy)* came out, it stuck with the artwork, with only one of her three alternate costumes having green hair. *[Theatrhythm Final Fantasy](/pmwiki/pmwiki.php/VideoGame/TheatrhythmFinalFantasy)* made her blonde with a greenish tint. Finally, the iOS version kept the Amano design for her portrait, but dyed the hair green. She could be an honorary member of FFV's cast with all those alterations. *[Final Fantasy Brave Exvius](/pmwiki/pmwiki.php/VideoGame/FinalFantasyBraveExvius)* splits the difference by having three different versions of her, none of whom share the same hair - the original version has green hair, her Trance form has bright pink hair, and her Magitek Warrior version has blonde hair.",/pmwiki/pmwiki.php/Main/AdaptationDyeJob
../data/FinalFantasy/FFV/,Final Fantasy V,Terra Branford,Terra Branford,A.I. Roulette,0," [A.I. Roulette](/pmwiki/pmwiki.php/Main/AIRoulette): Like all others in the Coliseum, but Terra is unique due to a strange bug with her Trance command: if it ends up getting used at random, the game will mistake her transformation gauge for a normal ready gauge, making her stand there and do nothing while it completely drains; her AI can freeze for up to *minutes* at a time.",/pmwiki/pmwiki.php/Main/AIRoulette
