folder,alternativeMeasure,game,series,group,charName,lines,words,sentences,syllables
../data/FinalFantasy/FFVIII/,False,Final Fantasy VIII,Final Fantasy,male,Squall,965,10030,4861,12220
../data/FinalFantasy/FFVIII/,False,Final Fantasy VIII,Final Fantasy,male,Zell,397,3465,1328,4036
../data/FinalFantasy/FFVIII/,False,Final Fantasy VIII,Final Fantasy,male,Irvine,192,2201,801,2594
../data/FinalFantasy/FFVIII/,False,Final Fantasy VIII,Final Fantasy,male,Cid,73,1743,405,2224
../data/FinalFantasy/FFVIII/,False,Final Fantasy VIII,Final Fantasy,male,Biggs,18,220,122,271
../data/FinalFantasy/FFVIII/,False,Final Fantasy VIII,Final Fantasy,male,Odine,34,1110,227,1457
../data/FinalFantasy/FFVIII/,False,Final Fantasy VIII,Final Fantasy,male,Kiros,78,652,316,807
../data/FinalFantasy/FFVIII/,False,Final Fantasy VIII,Final Fantasy,male,Laguna,234,3453,1251,4092
../data/FinalFantasy/FFVIII/,False,Final Fantasy VIII,Final Fantasy,male,Mark,2,2,9,2
../data/FinalFantasy/FFVIII/,False,Final Fantasy VIII,Final Fantasy,male,Martine,4,219,32,326
../data/FinalFantasy/FFVIII/,False,Final Fantasy VIII,Final Fantasy,male,Mayor Dobe,16,167,45,210
../data/FinalFantasy/FFVIII/,False,Final Fantasy VIII,Final Fantasy,male,Nida,21,249,64,313
../data/FinalFantasy/FFVIII/,False,Final Fantasy VIII,Final Fantasy,male,NORG,14,249,77,352
../data/FinalFantasy/FFVIII/,False,Final Fantasy VIII,Final Fantasy,male,Piet,10,123,31,148
../data/FinalFantasy/FFVIII/,False,Final Fantasy VIII,Final Fantasy,male,Raijin,44,546,160,638
../data/FinalFantasy/FFVIII/,False,Final Fantasy VIII,Final Fantasy,male,Seifer,116,1216,386,1471
../data/FinalFantasy/FFVIII/,False,Final Fantasy VIII,Final Fantasy,male,Ward,36,172,199,217
../data/FinalFantasy/FFVIII/,False,Final Fantasy VIII,Final Fantasy,male,Watts,35,596,165,736
../data/FinalFantasy/FFVIII/,False,Final Fantasy VIII,Final Fantasy,male,Wedge,13,84,34,116
