maleWords,femaleWords
2016,1150
2169,1443
2219,1278
2136,1141
1939,1217
2172,1146
2182,1296
2015,1107
2116,1283
2001,1192
2190,1208
2084,1188
2024,1164
2082,986
2080,1237
1982,1099
2106,1138
2180,1233
1913,1158
2131,1231
2027,1096
2158,1236
2049,1177
2125,1263
2053,1165
2184,1346
2139,1274
2053,1190
2061,1223
2058,1140
2050,1240
2019,1170
2119,1226
2164,1321
2165,1133
2033,1166
2114,1187
2097,1322
2116,1302
2153,1142
2023,1131
2050,1191
2108,1084
2233,1235
2091,1213
2170,1393
2152,1323
1998,1298
2033,1128
2118,1054
2132,1093
2048,1224
2155,1325
2078,1133
2113,1187
2211,1398
2087,1176
2014,1212
2097,1306
2112,1257
2156,1167
2141,1059
2091,1212
2023,1154
2189,1186
2118,1445
1988,1266
2099,1289
2151,1133
2247,1195
2086,1306
2322,1299
2198,1306
2151,1189
2012,1303
2082,1168
2008,1196
2083,1199
2119,1155
2097,1339
2060,1268
2110,1204
2316,1257
2144,1149
2103,1068
2110,1148
2202,1255
2098,1193
2184,1134
2049,1139
2114,1119
2128,1344
2214,1282
2158,1275
1990,1069
2186,1135
2026,1206
2207,1226
2140,1230
2014,1287
