maleWords,femaleWords
28,42
12,0
34,42
50,84
3,16
19,58
3,0
12,16
9,11
19,42
9,0
9,0
9,16
34,58
12,22
3,16
9,0
9,11
19,58
3,16
18,0
18,11
3,11
9,11
28,42
12,11
9,0
12,0
3,27
12,32
18,16
34,58
12,11
34,42
3,0
9,11
3,0
3,22
18,11
9,16
18,16
12,0
3,0
3,16
12,32
19,42
3,0
3,11
25,42
9,0
3,0
9,0
3,0
19,42
25,42
34,42
3,11
25,53
12,16
19,42
25,58
25,42
3,11
25,42
34,42
9,0
3,0
35,84
28,58
3,11
12,11
12,0
19,58
19,42
19,42
9,0
18,27
3,0
9,16
12,11
3,11
25,42
34,53
12,11
25,42
12,0
19,53
12,16
3,11
18,0
25,58
19,42
9,11
34,42
3,22
12,16
3,11
12,0
18,0
25,42
