folder,alternativeMeasure,game,series,group,charName,lines,words,sentences,syllables
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Al-cid,24,675,126,872
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Anastasis,11,234,45,279
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Ba'gamnan,13,175,49,190
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Balthier,235,3478,819,4126
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Basch,125,1564,386,1833
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Havharo,6,83,17,96
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Kytes,11,207,44,227
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Larsa,48,892,191,1090
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Migelo,17,336,66,410
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Nono,1,38,6,44
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Raz,9,192,46,225
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Reddas,31,699,133,826
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Reks,19,124,47,147
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Rikken,9,226,58,272
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Tomaj,1,41,9,52
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Vaan,270,2429,820,2729
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Vayne,52,1073,200,1336
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Vossler,43,673,143,798
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Zargabaath,1,4,1,4
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Bwagi,1,5,1,6
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Doctor Cid,26,576,115,683
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Judge Bergan,2,40,5,46
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Judge Gabranth,27,408,99,488
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Judge Ghis,27,441,94,558
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Judge Zargabaath,8,128,22,165
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Jules,17,468,89,581
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Lamont,12,148,36,206
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Old Dalan,16,500,87,589
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,Rasler,4,50,14,64
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,male,War-chief Supinelu,6,200,31,224
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,female,Amalia,11,74,28,97
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,female,Ashe,155,1884,481,2244
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,female,Drace,1,11,2,13
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,female,Fran,90,1136,297,1323
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,female,Jote,10,174,38,192
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,female,Mjrn,9,160,26,179
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,female,Penelo,100,1119,295,1282
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,female,Elza,9,204,43,240
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,female,Judge Drace,11,198,46,244
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,genderless,Venat,4,101,22,128
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,neutral,Bangaa,5,50,12,54
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,neutral,???,14,152,48,166
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,neutral,Occuria,6,280,39,322
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,neutral,Occurian,1,50,6,64
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,neutral,Rabanastrans,2,31,6,37
../data/FinalFantasy/FFXII/,True,Final Fantasy XII,Final Fantasy,neutral,Tonberry,1,5,2,9
