folder,series,game,from,to,frequency
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,-,-,358
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,-,neutral,16
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,neutral,-,16
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,-,male,459
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,male,-,467
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,male,male,400
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,male,female,196
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,female,male,203
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,-,female,148
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,female,-,140
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,male,neutral,7
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,neutral,male,8
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,female,female,48
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,neutral,female,4
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,female,neutral,5
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,neutral,neutral,1
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,-,genderless,2
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,genderless,male,2
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,male,genderless,2
../data/FinalFantasy/FFXII/,Final Fantasy,Final Fantasy XII,genderless,-,2
