QuestName,Level,Scenario,XP,Gil,femaleWords,maleWords
A-Digging We Will Go,Lv. 78,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,227520,1944,0,970
A Bargain Struck,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,100000,843,210,87
A Beeautiful Plan,Lv. 74,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,221760,1044,287,150
A Blessed Instrument,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,216000,788,198,564
A Blissful Arrival,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Stormblood Main Scenario Quests ⇒  Post-Ala Mhigan Liberation,10800,861,151,438
A Brave Resolution,Lv. 54,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,49920,845,117,437
A Breath of Respite,Lv. 78,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,227520,843,184,1543
A Brief Reprieve,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Stormblood Main Scenario Quests ⇒  Post-Ala Mhigan Liberation,10800,3679,0,979
A Child Apart,Lv. 56,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,51480,496,0,445
A Convenient Distraction,Lv. 77,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,226080,914,8,721
A Dash of Green,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,100000,615,341,62
A Day in the Neighborhood,Lv. 74,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,221760,931,412,640
A Defector's Tidings,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Stormblood Main Scenario Quests ⇒  Post-Ala Mhigan Liberation,10800,2823,362,511
A Desert Crossing,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,216000,934,448,25
A Difference of Opinion,Lv. 57,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,52260,658,38,785
A Dirty Job,Lv. 77,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,226080,992,0,810
A Familiar Face Forgotten,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,100000,778,190,655
A Feast of Lies,Lv. 77,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,226080,2474,447,1351
A Fickle Existence,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,216000,1116,69,1148
A Final Peace,Lv. 66,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,106000,900,426,220
A Final Temptation,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,939,163,711
A Fitting Payment,Lv. 73,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,220320,1500,7,65
A Fresh Start,Lv. 77,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,226080,4580,569,590
A Friend of a Friend in Need,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,100000,778,540,0
A General Summons,Lv. 54,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,49920,1509,365,1205
A Gigantic Undertaking,Lv. 78,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,227520,1000,411,2285
