folder,maxF.maleWords,maxF.femaleWords,maxM.maleWords,maxM.femaleWords,totalNonChoice.maleWords,totalNonChoice.femaleWords
../data/FinalFantasy/FFXIV/,NA,NA,NA,NA,348711,183814
../data/FinalFantasy/FFXIV/,0,0,24,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,0,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,15,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,12,0,NA,NA
../data/FinalFantasy/FFXIV/,25,0,25,0,NA,NA
../data/FinalFantasy/FFXIV/,26,0,26,0,NA,NA
../data/FinalFantasy/FFXIV/,11,0,11,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,19,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,0,0,NA,NA
../data/FinalFantasy/FFXIV/,20,0,20,0,NA,NA
../data/FinalFantasy/FFXIV/,24,0,24,0,NA,NA
../data/FinalFantasy/FFXIV/,14,0,81,0,NA,NA
../data/FinalFantasy/FFXIV/,0,11,0,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,45,0,NA,NA
../data/FinalFantasy/FFXIV/,0,62,0,0,NA,NA
../data/FinalFantasy/FFXIV/,46,0,59,0,NA,NA
../data/FinalFantasy/FFXIV/,0,91,0,78,NA,NA
../data/FinalFantasy/FFXIV/,0,0,37,0,NA,NA
../data/FinalFantasy/FFXIV/,5,0,10,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,39,0,NA,NA
../data/FinalFantasy/FFXIV/,0,31,0,0,NA,NA
../data/FinalFantasy/FFXIV/,239,0,239,0,NA,NA
../data/FinalFantasy/FFXIV/,60,0,60,0,NA,NA
../data/FinalFantasy/FFXIV/,158,0,158,0,NA,NA
../data/FinalFantasy/FFXIV/,0,8,0,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,13,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,8,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,21,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,22,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,14,0,NA,NA
../data/FinalFantasy/FFXIV/,7,0,23,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,12,0,NA,NA
../data/FinalFantasy/FFXIV/,0,107,0,107,NA,NA
../data/FinalFantasy/FFXIV/,0,27,0,26,NA,NA
../data/FinalFantasy/FFXIV/,0,14,0,3,NA,NA
../data/FinalFantasy/FFXIV/,9,0,9,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,9,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,27,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,20,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,29,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,25,0,NA,NA
../data/FinalFantasy/FFXIV/,19,0,19,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,19,0,NA,NA
../data/FinalFantasy/FFXIV/,0,10,0,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,67,0,NA,NA
../data/FinalFantasy/FFXIV/,0,15,0,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,16,0,NA,NA
../data/FinalFantasy/FFXIV/,0,19,0,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,43,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,0,0,NA,NA
../data/FinalFantasy/FFXIV/,0,0,0,0,NA,NA
