folder,alternativeMeasure,game,series,group,charName,lines,words,sentences,syllables
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,playerChoice,The Adventurer,536,3582,1351,4204
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Latgar,1,20,2,25
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Amelain,2,254,19,327
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Komuxio,23,1055,180,1287
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Rolfe Hawthorne,7,534,83,624
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Brass Blade,3,96,18,110
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Draggle-tailed Refugee,7,281,44,308
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Hahasako,6,486,48,677
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Boorish Banneret,3,63,14,75
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Gegeruju,2,200,30,227
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Serpent Herald,2,48,5,68
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Fearful Citizen,1,6,4,8
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Moren,53,3639,495,4709
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Lamberteint,8,1136,140,1559
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Drunken Duskwright,2,63,9,74
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Wood Wailer,3,89,14,114
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Asgeir,3,134,33,153
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Nathelain,1,36,5,49
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Marcechamp,12,722,83,822
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Willfort,7,186,47,219
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Todden,7,3,33,3
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Gisilbehrt,2,249,25,290
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Distressed Soldier,2,43,5,56
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,House Durandaire Knight,2,70,8,92
../data/FinalFantasy/FFXIV/,False,Final Fantasy XIV,Final Fantasy,male,Stupefied Citizen,2,23,7,27
