folder,alternativeMeasure,game,series,group,charName,lines,words,sentences,syllables
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Ardyn,206,2644,657,3159
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Biggs,19,253,55,304
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Caligo,9,171,32,219
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Cid,61,929,183,1027
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Cor,106,1494,308,1765
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Dave,44,965,141,1075
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Dino,63,1467,219,1705
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Drautos,1,2,1,3
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Dustin,1,39,5,45
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Gladiolus,1218,9577,2619,10997
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Iedolas,9,107,61,124
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Ignis,1050,8634,2320,10655
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Jared,12,109,26,131
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Loqi,26,323,61,402
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Navyth,36,759,128,850
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Noctis,1939,10685,4232,12043
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Prompto,1527,11877,3457,13633
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Randolph,19,365,69,432
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Ravus,28,338,76,415
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Regis,13,149,34,172
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Takka,58,832,175,921
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Talcott,59,1208,225,1457
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Tony,2,55,8,64
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Verstael,22,1037,100,1416
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Vyv,83,1744,323,2040
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Wedge,9,30,20,32
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Weskham,18,407,53,527
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Wiz,34,728,118,823
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Bahamut,6,264,23,332
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Gilgamesh,19,334,45,402
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Man,148,1604,347,1876
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Melusine Hunter,11,144,33,167
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Old Man,11,114,32,142
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Boy,4,67,10,79
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Altissian Guard,3,22,6,26
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Proprietor (Wishing Birds),2,44,5,49
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Proprietor (Delivery),1,26,3,27
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Gatekeeper,3,44,9,57
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Boyfriend,2,31,4,36
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Receptionist,2,29,6,40
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Server,1,3,1,3
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Estate Guard,1,10,2,11
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Vendor,1,8,1,8
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Staff,1,4,1,5
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Assassin,7,91,18,112
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Hunter1,2,44,5,51
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,male,Hunter2,1,4,1,4
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Aranea,139,1477,348,1735
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Camelia,59,1540,232,1939
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Coctura,16,365,57,440
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Cindy,141,2720,445,3036
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Ezma,13,373,56,418
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Holly,48,1091,187,1280
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Iris,115,1268,296,1480
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Kimya,12,287,52,346
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Luna,62,941,254,1109
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Maria,9,197,29,233
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Monica,19,384,66,484
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Sania,51,1066,175,1270
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Gentiana,25,443,93,543
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Shiva,25,522,75,633
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Leviathan,6,149,17,194
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Melusine,2,12,6,12
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Woman,76,788,171,949
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Announcement,22,174,63,325
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Old Woman,11,157,26,189
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Girl,6,84,16,105
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Newscaster,11,410,40,688
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Girlfriend,2,23,3,27
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Radio Narrator,3,33,5,43
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,female,Radio Interviewer,3,20,3,26
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,neutral,Naga,5,21,25,23
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,neutral,Soul,23,405,67,491
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,neutral,NARRATIVE,2584,35233,2689,45790
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,neutral,SYSTEM,1092,10939,1837,14832
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,neutral,Broadcast,2,20,5,38
../data/FinalFantasy/FFXV/,False,Final Fantasy XV,Final Fantasy,neutral,Attendant,1,7,1,7
