folder,alternativeMeasure,game,series,group,charName,lines,words,sentences,syllables
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Sora,455,2799,1019,3143
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Donald,167,838,317,938
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Riku,143,1337,384,1536
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Goofy,144,888,279,990
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Leon,57,638,159,750
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Pooh,49,541,131,609
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Philoctetes,44,474,118,543
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Ansem,50,474,151,587
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Cid,37,635,134,729
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Genie,31,296,82,349
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Aladdin,30,227,70,270
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Triton,27,333,75,398
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Hades,26,338,81,378
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Owl,24,553,98,631
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Peter Pan,32,267,71,288
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Piglet,23,197,51,215
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Jafar,24,299,61,356
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Rabbit,21,283,72,319
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Jiminy,20,235,46,273
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Captain Hook,25,270,64,323
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Tigger,18,202,43,229
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Cheshire Cat,17,251,58,293
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Pinocchio,16,94,36,99
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Tarzan,24,103,63,123
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Finkelstein,14,136,41,171
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Sebastian,15,151,42,177
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Beast,13,151,42,167
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Clayton,15,188,52,227
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Merlin,16,254,63,290
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Hercules,11,136,24,150
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Oogie Boogie,12,84,23,101
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Cloud,10,83,20,96
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Geppetto,13,181,40,211
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Eeyore,8,115,39,131
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Barrel,7,56,12,67
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Mayor,7,86,23,110
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Iago,6,42,11,48
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Lock,5,43,10,47
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Doorknob,5,40,14,43
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,White Rabbit,5,49,9,52
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Roo,4,44,6,48
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Jetsam,5,36,15,39
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Flotsam,5,31,12,36
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Mickey,35,459,116,523
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Smee,5,29,10,36
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Flounder,3,64,8,69
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Tidus,5,61,10,73
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Sephiroth,2,20,4,24
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Chip,2,15,3,19
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Wakka,4,43,6,50
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Dale,1,14,5,18
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Jack Skellington,29,321,78,399
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,male,Xemnas,11,53,24,69
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Kairi,74,597,196,693
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Maleficent,50,608,143,720
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Ariel,37,314,99,366
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Aerith,36,380,92,469
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Ursula,28,256,71,299
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Queen of Hearts,25,240,62,283
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Yuffie,27,316,60,372
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Jane,24,196,64,239
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Alice,15,197,45,235
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Fairy Godmother,13,192,40,230
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Jasmine,11,177,37,218
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Cinderella,8,98,23,122
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Aurora,7,119,26,156
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Shock,6,64,13,82
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Snow White,6,90,17,106
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Wendy,6,61,14,69
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Sally,5,102,24,121
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Belle,4,94,19,114
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Minnie,4,34,8,40
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Selphie,5,64,9,77
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Daisy,2,15,4,16
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Grandmother,1,162,22,200
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,female,Sora's Mom,1,7,3,8
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,neutral,Card Soldier,4,31,9,38
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,neutral,Moogle,1,8,1,12
../data/KingdomHearts/KingdomHearts/,True,Kingdom Hearts,Kingdom Hearts,neutral,Flower,1,9,1,11
