folder,alternativeMeasure,game,series,group,charName,lines,words,sentences,syllables
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Sora,1357,7915,2955,8939
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Donald,496,1730,787,1928
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Goofy,382,2465,723,2826
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Roxas,196,978,564,1102
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Hayner,116,915,255,1042
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Mickey,109,976,264,1141
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Jack Sparrow,90,872,216,1029
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Pete,111,1220,319,1380
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Pence,95,801,226,931
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Tron,83,1044,245,1269
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Jack Skellington,80,846,216,1006
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Sebastian,89,941,250,1061
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Hades,69,854,228,1039
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Riku,71,677,215,793
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Hercules,62,493,164,545
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Aladdin,57,431,154,488
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Simba,56,402,158,460
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Will,56,524,185,604
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Leon,56,449,157,523
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Pooh,52,545,139,635
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Axel,51,551,185,646
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Santa,43,607,157,716
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Shang,43,458,133,560
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Barbossa,41,628,123,730
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Beast,40,296,144,334
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Merlin,38,569,123,673
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Mushu,38,527,115,589
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Genie,38,337,85,377
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Iago,34,319,98,368
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,DiZ,35,435,97,539
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Seifer,33,233,68,272
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Auron,32,243,99,280
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Cogsworth,31,291,100,345
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Xemnas,40,614,203,735
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Phil,30,366,89,413
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Cloud,29,161,67,185
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Ping,30,134,61,148
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Ansem the Wise,26,751,141,906
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Ansem (Riku-Ansem),12,55,22,66
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,"Ansem (Ansem, Seeker of Darkness)",3,12,7,17
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Sephiroth,25,260,85,307
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Timon,27,276,67,315
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Lumiere,25,250,68,296
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Piglet,24,175,64,202
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Eric,22,182,78,189
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Emperor,22,349,63,416
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Cid,22,191,51,228
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Yen Sid,22,719,110,916
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Oogie Boogie,20,198,50,231
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Peddler,20,281,81,334
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Chip,24,175,51,210
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Scar,19,189,71,228
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Flounder,21,162,49,184
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Dale,22,128,39,150
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Rabbit,17,220,46,258
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,MCP,17,197,57,282
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Banzai,17,120,33,136
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Lock,19,85,27,100
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Tigger,15,178,43,217
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Triton,15,154,38,181
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Demyx,17,98,51,115
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Rafiki,13,242,60,273
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Xaldin,17,148,53,169
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Ansem,13,93,32,108
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Producer,13,178,32,207
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Barrel,15,48,19,50
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Announcer,12,249,44,332
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Sark,11,80,33,106
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Finkelstein,11,149,31,206
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Yao,11,42,17,44
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Jafar,11,109,34,121
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Xigbar,18,165,42,185
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Pumbaa,14,60,23,64
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Rai,10,58,11,63
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Luxord,12,75,26,100
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Ling,9,24,9,27
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Scrooge,9,98,34,111
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Eeyore,8,67,20,74
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Setzer,5,56,11,60
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Jiminy,4,41,15,44
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Mufasa,3,59,14,68
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Pirate,8,33,8,40
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Mayor,6,91,25,112
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Roo,4,15,4,17
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Pain,5,76,13,99
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Panic,3,29,4,34
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Vivi,5,54,22,60
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Owl,4,67,11,82
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Gopher,4,18,6,22
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Bo'sun,3,11,3,13
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Voice,3,36,10,45
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Storekeeper,3,39,12,43
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Stitch,2,2,2,2
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Shan-Yu,2,6,2,7
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Saïx,44,421,140,508
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Chien Po,2,16,3,19
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Pirate Crew,1,1,1,1
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,King Triton,1,18,1,21
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,male,Xehanort,2,23,9,33
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Ariel,86,829,242,926
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Kairi,66,426,170,491
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Olette,63,376,139,442
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Maleficent,59,774,176,968
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Mulan,49,291,110,349
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Elizabeth,38,292,90,333
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Nala,37,370,119,413
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Ursula,38,525,112,614
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Belle,33,211,80,233
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Naminé,33,337,117,387
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Yuffie,31,204,48,242
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Aerith,31,242,77,273
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Minnie,24,291,77,346
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Meg,24,263,88,319
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Sally,20,219,74,254
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Tifa,19,117,44,130
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Mrs. Potts,19,198,50,222
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Shock,20,74,24,83
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Yuna,15,82,25,100
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Wardrobe,14,159,41,185
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Shenzi,13,104,30,114
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Rikku,12,49,24,52
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Jasmine,12,141,35,162
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Selphie,12,71,25,77
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Paine,11,59,25,68
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Flora,9,67,22,81
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Fauna,9,50,18,59
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Merryweather,11,72,20,86
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Woman,5,21,11,26
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Lioness,4,83,19,99
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Vanessa,4,57,14,59
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Atina,6,84,12,98
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Andrina,6,84,12,98
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Fuu,6,8,9,14
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Kanga,5,50,9,56
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Daisy,5,39,7,50
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,female,Owner,3,40,12,44
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,neutral,Computer,9,53,19,68
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,neutral,Everyone,6,74,13,83
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,neutral,Snails,5,15,6,21
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,neutral,Crowd,5,19,19,33
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,neutral,Plaque,2,15,6,20
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,neutral,Fans,2,2,2,6
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,neutral,Elf,1,11,2,13
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,neutral,Announcement,1,6,1,8
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,neutral,Shopkeeper,1,8,2,9
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,neutral,Dusk,1,7,1,7
../data/KingdomHearts/KingdomHearts2/,False,Kingdom Hearts II,Kingdom Hearts,neutral,??????,2,25,5,30
