folder,alternativeMeasure,game,series,group,charName,lines,words,sentences,syllables
../data/KingdomHearts/KingdomHearts3D/,False,Kingdom Hearts 3D: Dream Drop Distance,Kingdom Hearts,male,Sora,365,2551,910,2824
../data/KingdomHearts/KingdomHearts3D/,False,Kingdom Hearts 3D: Dream Drop Distance,Kingdom Hearts,male,Riku,293,2181,803,2439
../data/KingdomHearts/KingdomHearts3D/,False,Kingdom Hearts 3D: Dream Drop Distance,Kingdom Hearts,male,Mickey,143,1384,382,1625
../data/KingdomHearts/KingdomHearts3D/,False,Kingdom Hearts 3D: Dream Drop Distance,Kingdom Hearts,male,Joshua,68,1493,257,1732
../data/KingdomHearts/KingdomHearts3D/,False,Kingdom Hearts 3D: Dream Drop Distance,Kingdom Hearts,male,Flynn,58,683,204,815
../data/KingdomHearts/KingdomHearts3D/,False,Kingdom Hearts 3D: Dream Drop Distance,Kingdom Hearts,male,Sam,48,364,104,392
../data/KingdomHearts/KingdomHearts3D/,False,Kingdom Hearts 3D: Dream Drop Distance,Kingdom Hearts,male,Goofy,52,327,87,356
../data/KingdomHearts/KingdomHearts3D/,False,Kingdom Hearts 3D: Dream Drop Distance,Kingdom Hearts,male,Jiminy,51,561,142,645
../data/KingdomHearts/KingdomHearts3D/,False,Kingdom Hearts 3D: Dream Drop Distance,Kingdom Hearts,male,Neku,49,293,131,320
../data/KingdomHearts/KingdomHearts3D/,False,Kingdom Hearts 3D: Dream Drop Distance,Kingdom Hearts,male,Donald,45,180,75,199
../data/KingdomHearts/KingdomHearts3D/,False,Kingdom Hearts 3D: Dream Drop Distance,Kingdom Hearts,male,Yen Sid,35,1633,172,2020
../data/KingdomHearts/KingdomHearts3D/,False,Kingdom Hearts 3D: Dream Drop Distance,Kingdom Hearts,male,Beat,34,260,80,282
../data/KingdomHearts/KingdomHearts3D/,False,Kingdom Hearts 3D: Dream Drop Distance,Kingdom Hearts,male,Frollo,32,429,92,513
../data/KingdomHearts/KingdomHearts3D/,False,Kingdom Hearts 3D: Dream Drop Distance,Kingdom Hearts,male,Quasimodo,31,298,96,334
