"file","conversation","name","gender","Line1","Line2","Line3"
BioD_N7VIQ2_100_LOC_INT.pcc,n7viq2_missioncomplete_a_dlg,,,"I regret to inform you that all attempts to defend the station have failed. Shutting down security protocols."
BioD_N7VIQ2_100_LOC_INT.pcc,n7viq2_powerhub_a_dlg,,,"Hub area power restored.","Central mainframe access granted."
BioD_OmgPrA_301Offices_LOC_INT.pcc,omgpra_plant_shutdown_a_dlg,,,"That's it!","Shepard -- cover me, and I'll use my biotics to pull those mechs off the ledge.","Use your biotics -- pull those mechs off the ledge.","There's too many of 'em! Cover me so I can use biotics!"
BioD_TwrHub_602Trade1_LOC_INT.pcc,twrhub_gianna_merch_d_dlg,,,"Welcome back! Just so you know, your discount is still good, and I'll let you know about any special items that might hold your interest.","Parasini? Hell! Thanks for the warning.","I'm going to get lost and remove some evidence. I'll program the kiosk to offer you a discount, though.","Where the hell am I going to go next, Omega?"
BioD_OmgHub_500DenVIP_LOC_INT.pcc,omgmwl_mwl_done_return_d_dlg,,,"If you're ready, let's go to your ship now.","Take your time. I'll be ready whenever you are.","My mother's corpse is lying in my living room. While I understand why you might want to go through my panty drawer, perhaps we can hurry?","This is going to be fun."
BioD_HorCr1_301IndustrialArea_LOC_INT.pcc,horcr1_abductees_h_dlg,,,"Grab the grenade launcher over in the corner.","Here come the mechs. Use the grenade launcher to take them out.","Use the grenade launcher to take out the mechs.","The room below looks clear. I'll try to activate the elevator so you can go down."
BioD_TwrMwA_301HangarBFight_LOC_INT.pcc,twrmwa_redsand_tgen_dlg,,,"Sell it to the volus. He'll pay.","Idiots. Who would do that to themselves?","If I don't, I wake up screaming with furniture slamming into the wall.","A little snort gives you enough biotics to move a pencil around with your mind. For a little while."
BioD_N7BldInv1_100_LOC_INT.pcc,n7_hench_why_were_they_here_dlg,,,"Hurry, Joker! Go!","You're our only shot! Joker, go!","Move it, Joker! You gotta go!","Joker, don't waste this chance! Go!"
BioD_CitHub_300UpperWing_LOC_INT.pcc,cithub_ad_high_a_dlg,,,"Shepard, you've recently been dead.","Don't you deserve the quality and distinction of a traditional asari burial robe?","Anatass Mortuary offers the finest quality burial robes, hand-spun by skilled asari artisans.","Anatass. We'll help you leave a good-looking corpse."
BioD_TwrHub_302CarPort_LOC_INT.pcc,twrhub_tests_intro2_a_dlg,,,"No, she won't even talk to me.","I don't know. She really has it in for humans. That might explain the damn contract.","Being hired is merely the beginning. You must earn your place in the mighty army we are building."
BioD_QuaTlL_312PostTrial1_LOC_INT.pcc,quatll_post_opening_h_dlg,,,"Thank you for agreeing to take back the Alarei, Shepard. The admirals sound sure that my father is already dead, but...","I don't know. We won't know anything until we get there.","I knew this would be bad, but I guess you're never really prepared to be charged with treason.","And my father... I don't know. He could still be alive. They don't know for certain that he's dead. I just don't know, Shepard. And I need to find out."
BioD_SunTlA_205Colossus_LOC_INT.pcc,suntla_turret_a_dlg,,,"Eat this, you synthetic son of a bitch!","How do you like that?","For the Fleet!","Burn, you bastard!"
BioD_TwrHub_605Lounge1_LOC_INT.pcc,twrhub_imposter_conrad_d_dlg,,,"Good luck talking to the weapons merchant! Remember, she's at the shop by the carport!","You want to see how far I'll go? I learned how to shove a gun in people's faces from--","...Commander Shepard?","Shepard? Is it really you? It's me, Conrad Verner! We met on the Citadel? I wanted to become a Spectre?"
BioD_TwrHub_605Lounge1_LOC_INT.pcc,twrhub_imposter_concl_d_dlg,,,"The weapons merchant said that we took care of the red sand dealers! I guess I really helped!","I didn't know. I... I can't risk you being worried about my safety.","I'll stop pretending to be something I'm not. But thanks for letting me help, at least for a little while.","It's really good to have you back."
BioD_TwrHub_302CarPort_LOC_INT.pcc,twrhub_tests_intro1_a_dlg,,,"No, I haven't had any luck yet. She insists it was legal.","I don't know. I'm going to call in a favor and have a friend examine the contract."
BioD_HorCr1_302Spaceport_LOC_INT.pcc,horcr1_transmitter_h_dlg,,,"To access the Technical Laboratory, a scientist such as Dr. Mordin Solus must be present.","The port observation deck is closed until needed.","The starboard observation deck is closed until needed.","A Gunnery Officer is required to access the Gunnery Control Station."
BioD_N7BldInv1_100_LOC_INT.pcc,n7bldinv1_fog_dlg,,,"The fog on the planet's surface is interfering with your navigation. The nearby beacon towers may serve as a navigational contingency.","Krogan took down the grid! We're blind and getting hit on all sides! Where are the heavies?","Krogan on our six! Copy, god damn it! Where's Jedore and her personal guard?","Concentrate on the krogan charge, or we're all dead! Who was the genius who gave them arms?"
BioD_N7VIQ2_100_LOC_INT.pcc,n7viq2_powerliving_a_dlg,,,"Living area power restored.","The living area doors have been closed to quarantine a threat to this station. Advise intruders to engage self-destruct procedures to avoid death by starvation.","Being hired is merely the beginning. You must earn your place in the mighty army we are building."
BioD_JunCvL_102MorgueStairs_LOC_INT.pcc,juncvl_morgueamb_h_dlg,,,"This place is supposed to be empty. Who the fuck shot that varren? It's a fresh kill.","We're in space -- they have nowhere to go, and they know it.","But still, we exercise extreme caution. These are dangerous individuals.","We have many ways to control the population."
BioD_BchLmL_302MechFight_LOC_INT.pcc,bchlml_ambientmaster_a_dlg,,,"There it is. And mostly intact. They could have survived impact... but it's been years.","Looks like it was stripped after the crash. They'd have tried to get a beacon up as soon as possible.","We're about to clear the debris field."
BioD_N7Spdr2_LOC_INT.pcc,n7_hench_what_happened_dlg,,,"The blast took out the mechs, but you're not safe there. Head into the next room.","Lock in another thermal clip, Shepard.","Someone's hacking security trying to kill you. Look for a thermal clip for your pistol.","Find a thermal clip and get moving."
BioD_N7Spdr2_LOC_INT.pcc,n7_hench_some_intel_dlg,,,"Come on! We need to get to Niket!","They're on the far side of the conveyor line. Time your shots!","Damn it! I'm not letting her get Oriana.","We can cut down through the cargo line!"
BioD_N7VIQ2_100_LOC_INT.pcc,n7viq2_enterhub_a_dlg,,,"Intruder detected. You are not authorized to be in this area."
BioD_OmgPrA_201Clinic_LOC_INT.pcc,omgpra_batarian_patient_a_dlg,,,"With the vorcha gone, the Blue Suns should be able to regain control of the district. Things can get back to normal.","On our way here, we saw humans looting the apartments of the dead. It made me sick.","I didn't realize how good things were in the district before the quarantine. Never thought I'd miss the Blue Suns.","I didn't think this clinic would be crawling with so many of your kind. I would have thought twice about coming here."
