folder,alternativeMeasure,game,series,group,charName,lines,words,sentences,syllables
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,playerChoice,Shepard,4859,50579,10543,61068
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Other Batarian Merc hassling Daniel,13,106,25,123
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Garrus Vakarian,923,9168,2420,11190
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Illusive Man,306,4303,862,5757
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,"Jeff ""Joker"" Moreau",414,4397,1151,5389
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Sick Urdnot Scout,21,263,79,305
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Maelon,25,439,69,586
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Turian Checkpoint Guard (Omega),3,26,7,30
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Vorcha with Rocket Launcher (Omega),3,37,7,45
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Batarian Shuttle Driver (Omega),4,15,8,21
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Batarian Plague Victim (Omega),66,1014,230,1232
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Turian Worker,2,25,4,27
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Warden Kuril,73,786,160,1053
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Starved Batarian,6,106,19,126
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Quarantined Turian,9,130,26,147
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Kal'Reegar,134,2019,394,2449
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Turian talking to Quarian (Eternity Bar),10,125,27,148
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Human (Bachelor Party),10,129,32,151
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Salarian (Bachelor Party),12,164,47,227
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Turian (Bachelor Party),6,69,14,77
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Stockmarket Volus,9,100,31,116
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Weyrloc ClanSpeaker,19,311,39,384
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Beacon VI (Aeia),29,459,84,809
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Ronald Taylor,56,982,210,1221
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Feral Hunter (Aeia),1,10,3,11
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Officer (Aeia),6,123,41,147
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Joram Talid,25,358,68,452
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Talid's Bodyguard,1,2,1,2
../data/MassEffect/MassEffect2/,False,Mass Effect 2,Mass Effect,male,Mouse,66,806,233,918
