folder,alternativeMeasure,game,series,group,charName,lines,words,sentences,syllables
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,playerChoice,Shepard,8684,66068,18542,79231
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Garrus Vakarian,2233,20454,5145,24522
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,James Vega,1898,13552,4007,15883
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Javik,1649,13733,3808,17655
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,David Anderson,729,5434,1651,6560
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Urdnot Wreav,624,6231,1285,7476
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Kaidan Alenko,1481,11600,3551,14174
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Admiral Hackett,721,9014,1894,11462
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Admiral Han'Gerrel,82,860,189,1122
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Admiral Zaal'Koris,57,444,123,575
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Armando-Owen Bailey,264,3368,729,4236
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Engineer Adams,178,1856,428,2445
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Grunt,127,1040,305,1262
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Geth Prime,39,329,94,504
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Illusive Man,222,2331,651,3018
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Jacob Taylor,190,1514,487,1816
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Jason Prangley,109,610,170,783
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Kenneth Donnelly,106,1013,293,1250
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Legion,471,4989,1217,7438
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Mordin Solus,505,4401,1499,6788
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,"Jeff ""Joker"" Moreau",465,5107,1305,6285
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Quentius (new turian councilor),23,300,63,376
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Cerberus Radio (Mars),4,38,9,45
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Donnel Udina,80,1077,245,1391
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Urdnot Wrex,738,7951,1654,9389
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Valern,20,278,72,382
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Sparatus,25,282,55,347
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Zaeed Massani,109,1198,294,1437
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Vendetta (Prothean VI),49,627,131,907
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Cerberus Pilot,17,66,37,88
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Cerberus Assault Trooper (C-Sec Perimeter),1,2,1,3
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Kolyat Krios,17,212,56,253
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Dr. Charleson,1,16,3,16
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Dr. Fredricks,10,63,25,69
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Cerberus Assault Trooper 2 (Gellix),15,78,27,96
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Dr. Webber,6,38,13,43
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Dr. Baynar,5,29,6,40
../data/MassEffect/MassEffect3C/,False,Mass Effect 3,Mass Effect,male,Henry Lawson,73,709,182,927
