maleWords,femaleWords
433,5
341,0
296,0
456,0
401,5
405,0
417,0
320,5
360,0
435,0
491,5
552,0
400,5
445,0
449,0
372,5
502,5
396,0
518,5
358,0
422,0
489,0
494,0
340,5
355,0
419,0
363,5
417,5
477,5
364,5
536,0
554,5
431,5
460,5
464,0
413,0
518,5
516,0
370,0
384,5
533,0
484,0
487,0
416,0
524,5
424,0
556,5
380,5
509,0
341,0
525,5
485,0
414,5
427,0
364,5
358,5
544,0
405,0
439,0
492,5
579,5
312,0
328,5
409,5
382,0
377,0
445,0
312,0
524,5
335,5
394,0
532,5
553,5
399,0
363,0
540,5
393,5
492,0
547,0
322,0
505,0
359,5
465,0
507,5
445,5
370,5
388,0
424,5
482,5
511,0
374,0
366,5
511,5
380,0
418,0
331,5
421,0
377,0
484,0
406,5
