folder,alternativeMeasure,game,series,group,charName,lines,words,sentences,syllables
../data/Persona/Persona4/,False,Persona 4,Persona,male,Daidara,4,66,14,79
../data/Persona/Persona4/,False,Persona 4,Persona,male,Daisuke Nagase,182,1563,634,1805
../data/Persona/Persona4/,False,Persona 4,Persona,male,Edogawa,37,477,115,599
../data/Persona/Persona4/,False,Persona 4,Persona,male,Mr. Hosoi,74,1161,223,1417
../data/Persona/Persona4/,False,Persona 4,Persona,male,Igor,143,1602,491,2066
../data/Persona/Persona4/,False,Persona 4,Persona,male,Kanji Tatsumi,905,7847,3231,8969
../data/Persona/Persona4/,False,Persona 4,Persona,male,Shadow Kanji Tatsumi,58,663,185,818
../data/Persona/Persona4/,False,Persona 4,Persona,male,Kinshiro Morooka,99,1511,260,1860
../data/Persona/Persona4/,False,Persona 4,Persona,male,Mr. Kondo,112,1545,291,1891
../data/Persona/Persona4/,False,Persona 4,Persona,male,Kou Ichijo,205,1994,577,2266
../data/Persona/Persona4/,False,Persona 4,Persona,male,Mitsuo Kubo,58,387,312,459
../data/Persona/Persona4/,False,Persona 4,Persona,male,Shadow Mitsuo Kubo,32,586,123,734
../data/Persona/Persona4/,False,Persona 4,Persona,male,Naoki,10,37,47,41
../data/Persona/Persona4/,False,Persona 4,Persona,male,Ryotaro Dojima,797,7025,3082,8173
../data/Persona/Persona4/,False,Persona 4,Persona,male,Shu Nakajima,114,1031,518,1257
../data/Persona/Persona4/,False,Persona 4,Persona,male,Taro Namatame,177,1817,855,2124
../data/Persona/Persona4/,False,Persona 4,Persona,male,Teddie,916,7610,3125,8983
../data/Persona/Persona4/,False,Persona 4,Persona,male,Shadow Teddie,23,218,83,254
../data/Persona/Persona4/,False,Persona 4,Persona,male,Tohru Adachi,491,5743,1715,6829
../data/Persona/Persona4/,False,Persona 4,Persona,male,Mr. Yamada,63,986,227,1218
../data/Persona/Persona4/,False,Persona 4,Persona,male,Yosuke Hanamura,2355,22636,8193,26448
../data/Persona/Persona4/,False,Persona 4,Persona,male,Shadow Yosuke,14,192,52,241
../data/Persona/Persona4/,False,Persona 4,Persona,male,Yuuta,19,72,79,78
../data/Persona/Persona4/,False,Persona 4,Persona,male,Souji,249,848,487,999
../data/Persona/Persona4/,False,Persona 4,Persona,male,Kunino Sagiri,12,102,74,127
../data/Persona/Persona4/,False,Persona 4,Persona,male,Tanaka,25,306,41,410
../data/Persona/Persona4/,False,Persona 4,Persona,male,Ameno Sagiri,59,915,230,1115
../data/Persona/Persona4/,False,Persona 4,Persona,male,Agency Spokesman,3,46,7,66
../data/Persona/Persona4/,False,Persona 4,Persona,male,Magazine Reporter,4,60,6,86
../data/Persona/Persona4/,False,Persona 4,Persona,male,Commercial Voice,1,21,2,25
../data/Persona/Persona4/,False,Persona 4,Persona,male,Ailurophobe,35,385,140,432
../data/Persona/Persona4/,False,Persona 4,Persona,male,Aiya Owner,11,64,21,78
../data/Persona/Persona4/,False,Persona 4,Persona,male,Announcer,77,1190,218,1654
../data/Persona/Persona4/,False,Persona 4,Persona,male,Moel Gas Station Attendant,94,910,326,1064
../data/Persona/Persona4/,False,Persona 4,Persona,male,Awestruck Student,1,20,7,25
../data/Persona/Persona4/,False,Persona 4,Persona,male,Bespectacled Student,16,187,59,229
../data/Persona/Persona4/,False,Persona 4,Persona,male,Guy With A Backpack,20,229,51,283
../data/Persona/Persona4/,False,Persona 4,Persona,male,Bored Teenager,3,22,5,23
../data/Persona/Persona4/,False,Persona 4,Persona,male,Idle Teenager,2,25,7,31
../data/Persona/Persona4/,False,Persona 4,Persona,male,Lazy Student,23,261,73,312
../data/Persona/Persona4/,False,Persona 4,Persona,male,Brown-Haired Student,5,59,15,74
../data/Persona/Persona4/,False,Persona 4,Persona,male,Businessman,7,83,16,102
../data/Persona/Persona4/,False,Persona 4,Persona,male,Chie Fan,1,11,2,15
../data/Persona/Persona4/,False,Persona 4,Persona,male,Commentator,7,114,17,138
../data/Persona/Persona4/,False,Persona 4,Persona,male,Conceited Student,4,29,13,38
../data/Persona/Persona4/,False,Persona 4,Persona,male,Smirking Student,2,29,3,30
../data/Persona/Persona4/,False,Persona 4,Persona,male,Other Student,6,59,14,71
../data/Persona/Persona4/,False,Persona 4,Persona,male,Crying Kid,3,12,14,12
../data/Persona/Persona4/,False,Persona 4,Persona,male,Out-of-towner,2,35,9,45
../data/Persona/Persona4/,False,Persona 4,Persona,male,Deputy Mayor,12,114,33,129
../data/Persona/Persona4/,False,Persona 4,Persona,male,Eager Student,1,9,2,12
../data/Persona/Persona4/,False,Persona 4,Persona,male,Doctor,40,436,144,562
../data/Persona/Persona4/,False,Persona 4,Persona,male,Doubtful Student,1,3,4,4
../data/Persona/Persona4/,False,Persona 4,Persona,male,Dumbfounded Student,1,10,4,12
../data/Persona/Persona4/,False,Persona 4,Persona,male,Drama Club President,26,265,73,326
../data/Persona/Persona4/,False,Persona 4,Persona,male,Duty Officer,6,59,24,82
../data/Persona/Persona4/,False,Persona 4,Persona,male,Elderly Person,5,44,11,53
../data/Persona/Persona4/,False,Persona 4,Persona,male,Slacker Student,1,16,1,16
../data/Persona/Persona4/,False,Persona 4,Persona,male,Follower Student,1,6,2,6
../data/Persona/Persona4/,False,Persona 4,Persona,male,Enthusiastic Student,2,9,6,11
../data/Persona/Persona4/,False,Persona 4,Persona,male,Excited Student,2,10,6,12
../data/Persona/Persona4/,False,Persona 4,Persona,male,Rumor-Loving Student,9,74,23,90
../data/Persona/Persona4/,False,Persona 4,Persona,male,Knowledgeable Student,6,71,19,81
../data/Persona/Persona4/,False,Persona 4,Persona,male,Gekkoukan Principal,4,72,17,98
../data/Persona/Persona4/,False,Persona 4,Persona,male,Glasses-Wearing Student,2,22,11,24
../data/Persona/Persona4/,False,Persona 4,Persona,male,White-Collar Man,3,42,5,50
../data/Persona/Persona4/,False,Persona 4,Persona,male,Inoue,41,353,174,434
../data/Persona/Persona4/,False,Persona 4,Persona,male,Shady Reporter,37,416,97,496
../data/Persona/Persona4/,False,Persona 4,Persona,male,P.E. Teacher,9,121,16,142
../data/Persona/Persona4/,False,Persona 4,Persona,male,Yasogami Student,3,33,10,35
../data/Persona/Persona4/,False,Persona 4,Persona,male,Candy Apple Man,4,61,9,73
../data/Persona/Persona4/,False,Persona 4,Persona,male,Lottery Worker,8,65,21,77
../data/Persona/Persona4/,False,Persona 4,Persona,male,MC,50,602,101,771
../data/Persona/Persona4/,False,Persona 4,Persona,male,Saki's Dad,4,60,7,68
../data/Persona/Persona4/,False,Persona 4,Persona,male,Narrator,4,69,11,99
../data/Persona/Persona4/,False,Persona 4,Persona,male,Onlooking Student,2,19,3,19
../data/Persona/Persona4/,False,Persona 4,Persona,male,Spectacled Student,2,33,7,38
../data/Persona/Persona4/,False,Persona 4,Persona,male,Optimistic Student,2,13,5,16
../data/Persona/Persona4/,False,Persona 4,Persona,male,Partner,1,4,1,5
../data/Persona/Persona4/,False,Persona 4,Persona,male,Patrolman,3,35,7,43
../data/Persona/Persona4/,False,Persona 4,Persona,male,Photographer,15,190,58,250
../data/Persona/Persona4/,False,Persona 4,Persona,male,Police Officer,38,363,129,428
../data/Persona/Persona4/,False,Persona 4,Persona,male,Policeman,28,312,106,420
../data/Persona/Persona4/,False,Persona 4,Persona,male,Postcard,4,60,5,63
../data/Persona/Persona4/,False,Persona 4,Persona,male,Principal,8,96,28,131
../data/Persona/Persona4/,False,Persona 4,Persona,male,Punk,10,67,31,72
../data/Persona/Persona4/,False,Persona 4,Persona,male,Punk Leader,15,140,46,155
../data/Persona/Persona4/,False,Persona 4,Persona,male,Reporter,9,152,35,177
../data/Persona/Persona4/,False,Persona 4,Persona,male,Rise Fan,2,21,6,28
../data/Persona/Persona4/,False,Persona 4,Persona,male,Risette Fan,7,119,26,139
../data/Persona/Persona4/,False,Persona 4,Persona,male,Sitting Student,1,7,3,7
../data/Persona/Persona4/,False,Persona 4,Persona,male,Smirking Senior,12,169,35,192
../data/Persona/Persona4/,False,Persona 4,Persona,male,Soccer Player,30,250,83,283
../data/Persona/Persona4/,False,Persona 4,Persona,male,Sporty Student,11,150,28,170
../data/Persona/Persona4/,False,Persona 4,Persona,male,Student,3,31,4,38
../data/Persona/Persona4/,False,Persona 4,Persona,male,Student's Friend,12,150,43,180
../data/Persona/Persona4/,False,Persona 4,Persona,male,Suspicious Guy,3,11,8,11
../data/Persona/Persona4/,False,Persona 4,Persona,male,TV-Loving Student,2,29,6,31
../data/Persona/Persona4/,False,Persona 4,Persona,male,Takeshi,29,242,113,272
../data/Persona/Persona4/,False,Persona 4,Persona,male,Uniformed Officer,1,21,7,22
../data/Persona/Persona4/,False,Persona 4,Persona,male,Varsity Player,6,48,18,53
../data/Persona/Persona4/,False,Persona 4,Persona,male,Worried Student,1,13,5,15
../data/Persona/Persona4/,False,Persona 4,Persona,male,Yakushiji,16,170,54,224
../data/Persona/Persona4/,False,Persona 4,Persona,male,Yukiko Fan,4,46,21,60
../data/Persona/Persona4/,False,Persona 4,Persona,male,Despondent Man,20,268,91,308
../data/Persona/Persona4/,False,Persona 4,Persona,male,Gas-Masked Man,13,195,36,222
../data/Persona/Persona4/,False,Persona 4,Persona,male,Kind Man,8,84,20,104
../data/Persona/Persona4/,False,Persona 4,Persona,male,Loud Old Man,7,77,13,86
../data/Persona/Persona4/,False,Persona 4,Persona,male,Akio's Dad,1,4,1,5
../data/Persona/Persona4/,False,Persona 4,Persona,male,Man,2,24,7,28
../data/Persona/Persona4/,False,Persona 4,Persona,male,Construction Crew,1,10,2,11
../data/Persona/Persona4/,False,Persona 4,Persona,male,Male Patient,2,26,4,28
../data/Persona/Persona4/,False,Persona 4,Persona,male,Old Man (Fisherman),49,640,188,703
../data/Persona/Persona4/,False,Persona 4,Persona,male,Keita's Grandpa,29,375,94,437
../data/Persona/Persona4/,False,Persona 4,Persona,male,Older Man's Voice,2,22,5,25
../data/Persona/Persona4/,False,Persona 4,Persona,male,Suspicious Man,10,102,23,113
../data/Persona/Persona4/,False,Persona 4,Persona,male,Young Man,1,6,1,7
../data/Persona/Persona4/,False,Persona 4,Persona,male,Young Man with Shady Reporter,2,12,2,13
../data/Persona/Persona4/,False,Persona 4,Persona,male,Young Man's Voice,2,20,7,23
../data/Persona/Persona4/,False,Persona 4,Persona,male,Akio,3,12,3,15
../data/Persona/Persona4/,False,Persona 4,Persona,male,Lonely Boy,25,226,64,248
