"ACTION" :34380,
"Morgana" :2816,
"Ryuji Sakamoto" :2812,
"Ann Takamaki" :2214,
"Makoto Niijima" :1813,
"Yusuke Kitagawa" :1513,
"Futaba Sakura" :1115,
"Joker" :852,
"Haru Okumura" :753,
"Anon" :710,
"Sojiro Sakura" :620,
"Goro Akechi" :533,
"Yuuki Mishima" :379,
"Sae Niijima" :373,
"Sadayo Kawakami" :347,
"Chihaya Mifune" :279,
"Tae Takemi" :252,
"Ichiko Ohya" :248,
"Hifumi Togo" :201,
"Justine" :199,
"Chatter" :197,
"Munehisa Iwai" :197,
"Caroline" :197,
"Newscaster" :171,
"Shinya Oda" :168,
"Toranosuke Yoshida" :155,
"Masayoshi Shido" :138,
"Whisper" :128,
"Murmur" :121,
"Igor" :111,
"Lala Escargot" :71,
"SIU Director" :70,
"Post-Festival MC" :69,
"Inui" :59,
"Shadow Suguru Kamoshida" :54,
"Newspaper Club Member" :53,
"Shadow Junya Kaneshiro" :48,
"Shadow Ichiryusai Madarame" :47,
"Suguru Kamoshida" :47,
"Shadow Sae Niijima" :46,
"Souse" :45,
"Chouno" :44,
"COMMENT" :43,
"Matsushita" :43,
"Art Patron" :42,
"Haughty Regular" :42,
"Principal" :42,
"Lavenza" :40,
"Ushimaru" :39,
"Shadow Futaba Sakura" :36,
"Eiko Takao" :36,
"Usami" :36,
"Nav" :36,
"Robot Clerks" :35,
"Kaoru" :35,
"Hiruta" :34,
"Shadow Kunikazu Okumura" :33,
"Fishy Hawker" :33,
"Rocker" :32,
"Shiho Suzui" :32,
"President Tanaka" :30,
"Ichiryusai Madarame" :29,
"Male Host" :29,
"Protesting Man" :28,
"Alibaba" :27,
"Masa" :26,
"Middle-Aged Woman" :26,
"Beefy Trendsetter" :26,
"Casino Shadow" :25,
"Mika" :25,
"Veteran Pick-Up Artist" :25,
"Homeless Man" :25,
"Akiyama" :24,
"Innocent Grade Schooler" :24,
"Foreign Barker" :24,
"Starry-Eyed Student" :24,
"Takakura" :23,
"Novice Pick-Up Artist" :23,
"Aggressive Reporter" :23,
"Yaldabaoth" :22,
"Elderly Office Worker" :22,
"Female Employee" :22,
"Scruffy Romantic" :21,
"Rebellious Grade Schooler" :21,
"Adorable Woman" :21,
"Clear-Eyed Man" :21,
"Convenience Store Manager" :21,
"Teacher 1" :21,
"Tsukasa" :20,
"Chief" :20,
"Sad Old Man" :20,
"Tired Office Worker" :20,
"Game Show Host" :20,
"Futaba's Uncle" :20,
"Detective" :20,
"Demon" :19,
"Trainer" :19,
"TV Reporter" :19,
"Earnest Office Worker" :19,
"Modest Housewife" :19,
"Sullen Office Worker" :19,
"Young Office Worker" :19,
"Gaudy Female Student" :19,
"Former noble" :18,
"Tsuda" :18,
"Young-Looking Woman" :18,
"Partying College Student" :18,
"Calm Student" :18,
"Takeishi" :18,
"Elderly Male Customer" :18,
"Tabloid Show Host" :18,
"Ooe" :17,
"CHOICE" :17,
"Busy Young Man" :17,
"Sharp Lawyer" :17,
"Office Worker in Cafe Leblanc" :17,
"Mother" :17,
"Junya Kaneshiro" :17,
"Iida" :17,
"DTD Reporter" :17,
"Boy 10" :17,
"Rural Young Man" :17,
"Girl s Father" :17,
"Female Host" :17,
"Cleaner" :16,
"Sugimura" :16,
"Kunikazu Okumura" :16,
"Benzo" :16,
"Stylish Male Student" :16,
"Plump Man" :16,
