folder,maxF.maleWords,maxF.femaleWords,maxM.maleWords,maxM.femaleWords,totalNonChoice.maleWords,totalNonChoice.femaleWords
../data/Persona/Persona5B/,NA,NA,NA,NA,225625,148311
../data/Persona/Persona5B/,7,10,6,0,NA,NA
../data/Persona/Persona5B/,2,0,25,0,NA,NA
../data/Persona/Persona5B/,3,0,31,0,NA,NA
../data/Persona/Persona5B/,3,0,51,0,NA,NA
../data/Persona/Persona5B/,1,0,54,0,NA,NA
../data/Persona/Persona5B/,3,0,33,0,NA,NA
../data/Persona/Persona5B/,1,0,32,0,NA,NA
../data/Persona/Persona5B/,2,0,29,0,NA,NA
../data/Persona/Persona5B/,3,0,19,0,NA,NA
../data/Persona/Persona5B/,4,0,40,0,NA,NA
../data/Persona/Persona5B/,3,0,32,0,NA,NA
../data/Persona/Persona5B/,1,0,21,0,NA,NA
../data/Persona/Persona5B/,4,0,33,0,NA,NA
../data/Persona/Persona5B/,3,0,23,0,NA,NA
../data/Persona/Persona5B/,2,0,35,0,NA,NA
../data/Persona/Persona5B/,5,0,20,0,NA,NA
../data/Persona/Persona5B/,4,0,27,0,NA,NA
