folder,alternativeMeasure,game,series,group,charName,lines,words,sentences,syllables
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Joker,743,7061,3027,8555
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Ryuji Sakamoto,2804,34008,9781,39460
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Yusuke Kitagawa,1509,22659,6034,28731
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Goro Akechi,527,10427,2325,13495
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Igor,110,2737,616,3688
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Morgana,2812,44483,11080,54442
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Sojiro Sakura,615,10874,2959,12947
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Munehisa Iwai,195,4240,1082,4921
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shinya Oda,167,3570,1159,4138
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Yuuki Mishima,379,8818,2195,10811
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shadow Yuuki Mishima,8,250,79,293
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Toranosuke Yoshida,154,4048,821,5176
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Hiruta,34,1289,207,1630
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Inui,59,1922,279,2538
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Ushimaru,39,1161,223,1505
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Suguru Kamoshida,47,894,218,1158
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shadow Suguru Kamoshida,54,828,214,1027
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Ichiryusai Madarame,29,481,143,610
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shadow Ichiryusai Madarame,47,968,267,1184
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Junya Kaneshiro,17,298,72,343
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Kunikazu Okumura,16,285,69,374
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shadow Kunikazu Okumura,29,559,131,726
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Masayoshi Shido,138,2576,539,3410
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shadow Masayoshi Shido,14,172,46,224
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Yaldabaoth,22,299,96,405
../data/Persona/Persona5B/,False,Persona 5,Persona,male,SIU Director,69,1639,426,2144
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Natsuhiko Nakanohara,11,374,101,446
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shadow Natsuhiko Nakanohara,6,136,42,154
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Sugimura,15,235,51,296
../data/Persona/Persona5B/,False,Persona 5,Persona,male,President Tanaka,30,727,129,961
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Arsene,7,116,35,147
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Armored Soldier,3,25,7,27
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Busy Young Man,17,310,75,400
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Drunk Man,5,76,18,91
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Flashy Man,5,75,13,91
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Homeless Man,25,1141,260,1352
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Transient Man,10,249,62,305
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Man 2,2,19,5,25
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Plump Man,16,231,55,282
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Man 5,2,34,4,42
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Young Male Customer,16,225,49,283
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Man 7,1,12,2,13
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Man 8,1,2,1,3
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Man 9,3,30,8,32
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Over-Friendly Guy,6,71,17,89
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Menacing Man,14,198,60,241
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Miwa-Chan's Physician,5,82,13,100
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Neighborhood Man,1,9,2,9
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Elderly Male Customer,18,211,57,259
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Dazed Old Man,1,17,7,20
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Talkative Old Man,3,37,8,42
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Sad Old Man,20,335,62,407
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Old Shadow Prisoner,3,53,12,66
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Old Man 3,14,216,48,260
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Old Man 4,3,56,10,65
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Old Man talking to Rocker,1,16,1,20
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Pierced Man,3,59,8,68
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Pretentious Man,3,30,5,34
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Rural Young Man,17,278,60,324
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Wealthy Looking Man,3,44,6,57
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Wealthy Man,2,15,3,26
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Young Man,4,113,18,151
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Boy 1,1,7,2,11
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Boy 10,17,419,85,524
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Boy 11,2,22,3,25
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Boy 12,7,110,22,142
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Boy 13,10,238,37,309
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Stylish Male Student,16,259,59,340
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Boy 2,5,20,18,27
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Boy 3,3,44,8,56
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Boy 4,1,5,1,6
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Quiet Student,1,12,3,12
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Scary-looking Student,1,34,4,39
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Cowardly Student,1,13,4,14
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Boy 5,10,139,46,168
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Boy 6,2,35,12,44
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Boy 7,7,97,20,115
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Boy 9,1,4,1,4
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Defiant Boy,7,54,16,59
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Quiet Boy,6,54,28,57
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Reserved Boy,2,55,6,66
../data/Persona/Persona5B/,False,Persona 5,Persona,male,ATM,6,64,44,66
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Accomplice,2,6,2,6
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Accomplice 2,1,17,2,19
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Agent,6,34,32,51
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Agent 2,8,77,18,102
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Agent 3,1,7,3,8
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Akiyama,24,188,141,228
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Anchor 1,10,203,29,278
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Anchor 2,5,91,14,134
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Slouching Office Worker,3,70,14,92
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Exhausted Office Worker,1,10,2,10
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Anime Cop,1,7,7,7
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Anime Cop 2,1,6,1,6
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Archangel,1,11,4,14
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Art Patron,42,1076,243,1392
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Asakura,5,111,21,145
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Asmodeus,14,159,49,176
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Protesting Man,28,549,104,688
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Clear-Eyed Man,21,336,111,405
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shadow Junya Kaneshiro,48,966,229,1203
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shadow Yuichi Fukurai,6,244,48,296
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Bar Promoter,2,14,6,16
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Beefy Trendsetter,26,418,93,497
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Scruffy Romantic,21,327,71,391
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Benzo,16,341,70,457
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Taxi Driver,11,196,31,235
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Bodyguard,1,4,1,4
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Convenience Store Manager,21,152,35,200
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Bossy AD,4,104,24,134
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Broadcaster,1,16,2,18
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Brother,7,69,25,78
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Cameraman,6,65,17,89
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Cameraman 2,1,9,1,10
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Cameraman 3,3,27,5,29
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Casino Shadow,25,457,84,566
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Casino Shadow 2,14,380,81,471
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Chairman Fukurai,11,307,53,387
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Cheerful Host,13,216,36,289
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Chief,20,348,81,432
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Chief Detective,4,24,15,28
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Cleaner,16,284,59,327
../data/Persona/Persona5B/,False,Persona 5,Persona,male,ClerkBot,5,135,23,161
../data/Persona/Persona5B/,False,Persona 5,Persona,male,ChiefBot,9,250,44,308
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Partying College Student,18,264,56,348
../data/Persona/Persona5B/,False,Persona 5,Persona,male,College Student 2,15,259,61,322
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Timid Cop,3,16,5,18
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Patrolling Officer,3,82,23,102
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Patrolling Officer 2,2,29,11,35
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Counselor,8,93,25,117
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Crying Grade Schooler,1,3,4,4
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Curious Child,1,4,1,4
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Customs,1,6,1,7
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Daisoujou,1,18,6,25
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shadow Takanashi,5,75,20,88
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Deliveryman,3,45,10,57
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Detective,20,217,66,279
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Older Detective,5,108,19,134
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Hard-Boiled Detective,2,64,10,91
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Detective 5,1,16,2,19
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Dionysus,1,22,2,24
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Doctor,15,319,75,432
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Drunk Regular,6,91,16,108
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shogi Magazine Editor,2,27,7,31
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Calm Employee,2,12,2,15
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Exhibit Staff,7,92,36,113
../data/Persona/Persona5B/,False,Persona 5,Persona,male,FianceBot,1,9,3,9
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Fishy Hawker,33,808,157,988
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Foreign Barker,24,453,108,558
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Former noble,18,280,58,366
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Friendly Promoter,3,53,14,63
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Futsunushi,1,20,2,22
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Fuu ki,1,18,1,22
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Upset Gamer,4,81,12,93
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Nishiyama,6,143,45,169
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Girimehkala,1,14,1,17
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Goemon,1,12,4,19
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Rebellious Grade Schooler,21,433,64,498
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Innocent Grade Schooler,24,404,85,463
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Interrogation Room Guard,4,32,13,38
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Guide,1,7,1,7
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Haughty Regular,42,1311,225,1685
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Hecatoncheires,1,18,1,24
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Hell Biker,1,20,5,23
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shadow Honyo,4,153,30,199
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Iida,17,352,159,420
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Ikeda,12,266,48,347
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Ikesugi,5,76,23,89
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Incubus,1,12,2,14
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Injured Student,13,181,63,223
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Tired Investigator,2,13,3,16
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Investigator 2,3,94,19,129
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Ippon Datara,1,4,1,6
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Irritated Promoter,3,65,22,70
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Jack Frost,1,14,1,14
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Jikokuten,1,16,4,19
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shadow Jochi,5,86,19,110
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Junior Detective,2,16,8,19
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Kaoru,35,613,223,726
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Captain Kidd,2,28,11,33
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Kin ki,2,30,6,37
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shadow Kiritani,6,149,29,178
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shadow Kishi,5,150,30,194
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shinsuke Kishi,2,31,5,32
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Kushi Mitama,1,19,2,23
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Legislator,6,112,30,152
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Psychiatrist,9,128,48,178
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Light hearted Promoter,2,51,9,64
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Lighthearted Scout,1,25,10,27
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shadow Makigami,8,174,55,201
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Manager,6,233,38,280
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shadow Asakura,1,10,1,11
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Masa,26,440,92,505
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Matador,1,21,1,22
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Matsushita,43,918,165,1157
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Melchizedek,1,18,1,21
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Mementos Warden,1,33,3,38
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Michael,4,80,19,101
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Kotaro,7,6,24,6
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Mokoi,1,16,6,18
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Moloch,1,16,5,19
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shadow Mr Magario,4,85,16,96
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Takase's Male Relative,11,275,63,340
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shadow Naguri,4,80,23,99
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Nakaoka,16,290,99,346
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Nebiros,1,12,3,15
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Shadow Nejima,7,250,57,295
../data/Persona/Persona5B/,False,Persona 5,Persona,male,Neko Shogun,1,12,2,15
