folder,series,game,from,to,frequency
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,-,male,2354
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,male,-,11812
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,male,male,1431
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,-,female,777
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,female,playerChoice,2376
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,playerChoice,female,1902
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,female,-,3685
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,playerChoice,-,3990
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,-,-,6475
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,female,female,289
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,-,playerChoice,1163
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,male,playerChoice,5569
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,playerChoice,male,4649
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,male,female,667
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,female,male,596
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,-,neutral,407
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,neutral,-,730
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,neutral,playerChoice,221
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,playerChoice,neutral,132
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,neutral,neutral,8
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,female,neutral,3
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,neutral,male,11
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,male,neutral,4
../data/StarWarsKOTOR/StarWarsKOTOR/,Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,neutral,female,1
